genome	SpeciesNr	Species	Representative
SRS1992958_SemiBin_02	33	sp33	SRS1992958_SemiBin_02
SRS1992958_SemiBin_03	34	sp34	SRS1992958_SemiBin_03
SRS1992958_SemiBin_04	5	sp05	SRS1992958_SemiBin_04
SRS1992958_SemiBin_11	4	sp04	SRS1992993_SemiBin_1
SRS1992960_SemiBin_01	25	sp25	SRS1992960_SemiBin_01
SRS1992960_SemiBin_03	4	sp04	SRS1992993_SemiBin_1
SRS1992960_SemiBin_05	16	sp16	SRS1992960_SemiBin_05
SRS1992960_SemiBin_12	13	sp13	SRS1992995_SemiBin_10
SRS1992960_SemiBin_15	7	sp07	SRS1993000_SemiBin_05
SRS1992960_SemiBin_19	12	sp12	SRS1993001_SemiBin_12
SRS1992962_SemiBin_05	12	sp12	SRS1993001_SemiBin_12
SRS1992962_SemiBin_07	9	sp09	SRS1993058_SemiBin_02
SRS1992962_SemiBin_12	35	sp35	SRS1992962_SemiBin_12
SRS1992962_SemiBin_19	4	sp04	SRS1992993_SemiBin_1
SRS1992962_SemiBin_21	18	sp18	SRS1992995_SemiBin_27
SRS1992962_SemiBin_31	36	sp36	SRS1992962_SemiBin_31
SRS1992964_SemiBin_03	37	sp37	SRS1992964_SemiBin_03
SRS1992964_SemiBin_05	12	sp12	SRS1993001_SemiBin_12
SRS1992964_SemiBin_06	38	sp38	SRS1992964_SemiBin_06
SRS1992964_SemiBin_07	11	sp11	SRS1992998_SemiBin_11
SRS1992966_SemiBin_02	17	sp17	SRS1992998_SemiBin_17
SRS1992966_SemiBin_09	4	sp04	SRS1992993_SemiBin_1
SRS1992966_SemiBin_10	12	sp12	SRS1993001_SemiBin_12
SRS1992968_SemiBin_1	12	sp12	SRS1993001_SemiBin_12
SRS1992968_SemiBin_3	17	sp17	SRS1992998_SemiBin_17
SRS1992968_SemiBin_5	30	sp30	SRS1992968_SemiBin_5
SRS1992970_SemiBin_2	4	sp04	SRS1992993_SemiBin_1
SRS1992970_SemiBin_4	8	sp08	SRS1993058_SemiBin_03
SRS1992970_SemiBin_6	12	sp12	SRS1993001_SemiBin_12
