#Coverage	numBases
0	36910
1	8619
2	26823
3	119743
4	269066
5	441319
6	574591
7	643166
8	651805
9	607179
10	537031
11	456648
12	364404
13	289816
14	225800
15	173747
16	132377
17	105799
18	88730
19	77545
20	69935
21	66548
22	66493
23	70148
24	77049
25	83667
26	91115
27	97812
28	106145
29	115481
30	121608
31	127554
32	134574
33	138983
34	142746
35	144684
36	147002
37	147387
38	146617
39	142869
40	140237
41	137738
42	133829
43	129538
44	126709
45	122377
46	117232
47	112981
48	109091
49	104340
50	100121
51	95114
52	90031
53	85935
54	82054
55	78466
56	75978
57	73655
58	69345
59	67327
60	64244
61	63396
62	61114
63	60868
64	59348
65	58524
66	57217
67	55794
68	54936
69	54955
70	54362
71	54082
72	53397
73	52759
74	52608
75	52722
76	52443
77	52956
78	52490
79	52865
80	53396
81	53613
82	54052
83	54030
84	54825
85	55638
86	56017
87	55554
88	56331
89	56907
90	58166
91	58709
92	59431
93	59183
94	59608
95	61730
96	61861
97	61519
98	62766
99	62968
100	63126
101	63106
102	63867
103	65242
104	66011
105	66658
106	67280
107	67996
108	67841
109	68698
110	68819
111	69518
112	70299
113	70248
114	70231
115	70329
116	69778
117	70141
118	70493
119	70576
120	70382
121	69992
122	70103
123	69933
124	69956
125	69654
126	69703
127	69774
128	69016
129	69191
130	69046
131	68512
132	68020
133	67728
134	67381
135	66942
136	66662
137	66509
138	65809
139	65570
140	65687
141	64442
142	64172
143	63862
144	63408
145	62798
146	62105
147	61627
148	61001
149	60955
150	59923
151	58944
152	58734
153	58669
154	58775
155	57617
156	57596
157	56949
158	55908
159	55123
160	55184
161	54208
162	53612
163	53084
164	52233
165	51214
166	51237
167	50237
168	50222
169	49735
170	49796
171	49038
172	48282
173	48047
174	47411
175	46758
176	45851
177	45505
178	45349
179	44686
180	44779
181	44350
182	44096
183	43731
184	42873
185	42947
186	42760
187	41916
188	42004
189	41298
190	40678
191	40294
192	40440
193	39960
194	39483
195	39570
196	39493
197	39211
198	38108
199	37676
200	37499
201	37934
202	37264
203	36473
204	36594
205	36257
206	35576
207	34970
208	34851
209	34809
210	34310
211	34392
212	33407
213	33419
214	32826
215	32864
216	32616
217	32170
218	31865
219	31557
220	31183
221	30755
222	30603
223	30368
224	29829
225	29353
226	28956
227	28783
228	28333
229	28175
230	28330
231	27598
232	27286
233	26958
234	26772
235	26607
236	26492
237	26547
238	26523
239	25747
240	25733
241	25203
242	25087
243	24958
244	24868
245	24610
246	24212
247	24083
248	23729
249	23854
250	23628
251	23747
252	22893
253	23072
254	22797
255	22710
256	22662
257	22427
258	22007
259	22100
260	21464
261	21388
262	21684
263	21176
264	21381
265	21209
266	20855
267	20939
268	20644
269	20318
270	20493
271	20195
272	19884
273	19938
274	19740
275	19479
276	19207
277	18990
278	19031
279	19017
280	19018
281	18706
282	18701
283	18464
284	18216
285	18254
286	18321
287	18033
288	18020
289	17749
290	17372
291	17652
292	17791
293	17634
294	17466
295	17561
296	17558
297	17610
298	17531
299	17357
300	17130
301	16862
302	16814
303	16810
304	16778
305	16702
306	16724
307	16506
308	16022
309	16479
310	16483
311	16268
312	15984
313	15895
314	15809
315	15767
316	15786
317	15819
318	15596
319	15430
320	15593
321	15301
322	15456
323	15070
324	15141
325	14682
326	14782
327	14876
328	14763
329	14594
330	14459
331	14611
332	14521
333	14464
334	14392
335	14557
336	14203
337	14291
338	14035
339	13645
340	13797
341	13732
342	13547
343	13451
344	13553
345	13430
346	13215
347	13234
348	13224
349	13190
350	13075
351	12750
352	12994
353	12760
354	12893
355	12811
356	12708
357	13006
358	12712
359	12618
360	12334
361	12538
362	12449
363	12396
364	12102
365	12153
366	12236
367	12018
368	11894
369	11967
370	11630
371	11830
372	11653
373	11651
374	11737
375	11572
376	11670
377	11532
378	11295
379	11167
380	11202
381	11235
382	11336
383	11184
384	11137
385	11013
386	11135
387	10807
388	10838
389	10979
390	10644
391	10666
392	10661
393	10518
394	10546
395	10136
396	10352
397	10325
398	10323
399	10106
400	10269
401	9993
402	10079
403	9766
404	9770
405	9809
406	9566
407	9366
408	9260
409	9308
410	9219
411	9424
412	9179
413	9069
414	9174
415	8944
416	8967
417	8937
418	8632
419	8593
420	8385
421	8698
422	8549
423	8344
424	8334
425	8245
426	8340
427	8135
428	8188
429	8028
430	7974
431	8018
432	7777
433	7830
434	7790
435	7490
436	7560
437	7405
438	7341
439	7349
440	7183
441	7171
442	6983
443	6995
444	6873
445	6951
446	6937
447	6751
448	6734
449	6676
450	6712
451	6584
452	6527
453	6743
454	6525
455	6455
456	6451
457	6317
458	6366
459	6226
460	6008
461	5980
462	6046
463	5889
464	5925
465	5940
466	5856
467	5524
468	5686
469	5596
470	5556
471	5396
472	5397
473	5232
474	5218
475	5130
476	5046
477	5041
478	4917
479	4850
480	4915
481	4773
482	4886
483	4715
484	4632
485	4563
486	4542
487	4366
488	4416
489	4376
490	4295
491	4277
492	4260
493	4081
494	4137
495	3966
496	4006
497	3960
498	3788
499	3765
500	3761
501	3731
502	3704
503	3738
504	3606
505	3441
506	3543
507	3466
508	3401
509	3306
510	3357
511	3282
512	3277
513	3147
514	3122
515	3087
516	3007
517	3091
518	2947
519	3058
520	2942
521	2864
522	2893
523	2915
524	2775
525	2807
526	2695
527	2701
528	2662
529	2574
530	2549
531	2407
532	2520
533	2511
534	2423
535	2411
536	2446
537	2366
538	2446
539	2260
540	2218
541	2228
542	2264
543	2169
544	2187
545	2108
546	2114
547	2156
548	1984
549	2126
550	2059
551	1914
552	1991
553	1968
554	1864
555	1926
556	1800
557	1717
558	1727
559	1700
560	1670
561	1686
562	1620
563	1629
564	1627
565	1570
566	1565
567	1551
568	1494
569	1517
570	1450
571	1417
572	1370
573	1340
574	1313
575	1295
576	1283
577	1281
578	1317
579	1275
580	1280
581	1207
582	1206
583	1189
584	1162
585	1148
586	1164
587	1041
588	1046
589	1076
590	1055
591	1006
592	988
593	960
594	914
595	912
596	924
597	905
598	889
599	837
600	840
601	846
602	769
603	735
604	847
605	783
606	739
607	744
608	659
609	628
610	638
611	691
612	627
613	561
614	637
615	586
616	543
617	593
618	582
619	552
620	605
621	494
622	517
623	549
624	511
625	511
626	549
627	523
628	462
629	476
630	429
631	424
632	429
633	432
634	412
635	442
636	417
637	412
638	444
639	459
640	430
641	423
642	434
643	333
644	388
645	381
646	381
647	351
648	398
649	340
650	341
651	323
652	344
653	318
654	343
655	327
656	319
657	334
658	311
659	314
660	310
661	312
662	323
663	297
664	279
665	271
666	290
667	258
668	249
669	276
670	292
671	259
672	257
673	288
674	279
675	261
676	277
677	249
678	211
679	205
680	207
681	203
682	203
683	197
684	242
685	200
686	203
687	228
688	215
689	191
690	211
691	206
692	193
693	197
694	193
695	171
696	180
697	194
698	201
699	146
700	207
701	176
702	183
703	172
704	158
705	184
706	211
707	148
708	200
709	158
710	147
711	174
712	163
713	162
714	178
715	164
716	167
717	157
718	178
719	149
720	158
721	173
722	136
723	136
724	142
725	154
726	155
727	154
728	162
729	158
730	133
731	145
732	150
733	136
734	153
735	119
736	122
737	137
738	143
739	136
740	133
741	138
742	137
743	152
744	140
745	133
746	122
747	140
748	127
749	143
750	129
751	122
752	112
753	122
754	105
755	120
756	116
757	127
758	102
759	107
760	102
761	110
762	131
763	133
764	130
765	111
766	131
767	113
768	99
769	107
770	116
771	107
772	107
773	113
774	111
775	103
776	100
777	113
778	106
779	94
780	102
781	109
782	97
783	103
784	106
785	77
786	99
787	105
788	87
789	98
790	104
791	132
792	97
793	98
794	103
795	99
796	91
797	94
798	89
799	107
800	103
801	97
802	90
803	99
804	95
805	96
806	113
807	101
808	98
809	98
810	86
811	84
812	92
813	104
814	91
815	98
816	94
817	85
818	102
819	79
820	75
821	92
822	85
823	86
824	87
825	92
826	78
827	100
828	85
829	89
830	83
831	85
832	98
833	89
834	97
835	114
836	76
837	89
838	88
839	93
840	96
841	89
842	78
843	98
844	96
845	77
846	74
847	75
848	90
849	87
850	90
851	75
852	90
853	72
854	92
855	63
856	82
857	90
858	99
859	104
860	76
861	92
862	98
863	92
864	95
865	85
866	93
867	86
868	87
869	109
870	100
871	78
872	80
873	101
874	86
875	79
876	89
877	86
878	72
879	88
880	73
881	110
882	78
883	79
884	82
885	86
886	73
887	75
888	88
889	100
890	97
891	95
892	88
893	102
894	91
895	90
896	75
897	97
898	96
899	84
900	106
901	90
902	74
903	83
904	97
905	89
906	98
907	103
908	68
909	93
910	88
911	95
912	98
913	75
914	97
915	83
916	101
917	81
918	84
919	81
920	71
921	86
922	76
923	71
924	110
925	92
926	102
927	96
928	72
929	84
930	83
931	103
932	82
933	80
934	73
935	87
936	82
937	91
938	106
939	78
940	83
941	109
942	80
943	90
944	107
945	83
946	81
947	89
948	73
949	91
950	70
951	85
952	70
953	83
954	68
955	91
956	79
957	69
958	85
959	73
960	86
961	85
962	74
963	79
964	85
965	78
966	66
967	79
968	94
969	80
970	88
971	84
972	79
973	82
974	99
975	77
976	103
977	77
978	95
979	84
980	79
981	75
982	82
983	61
984	75
985	67
986	74
987	77
988	86
989	64
990	88
991	85
992	71
993	81
994	76
995	71
996	64
997	87
998	74
999	68
1000	71
1001	84
1002	71
1003	78
1004	66
1005	78
1006	70
1007	71
1008	68
1009	69
1010	68
1011	75
1012	77
1013	66
1014	77
1015	75
1016	70
1017	69
1018	58
1019	77
1020	80
1021	63
1022	62
1023	71
1024	70
1025	54
1026	68
1027	60
1028	60
1029	53
1030	77
1031	72
1032	68
1033	79
1034	68
1035	66
1036	78
1037	63
1038	58
1039	72
1040	55
1041	68
1042	69
1043	75
1044	88
1045	71
1046	67
1047	67
1048	79
1049	86
1050	81
1051	86
1052	79
1053	81
1054	76
1055	69
1056	89
1057	84
1058	72
1059	78
1060	82
1061	84
1062	74
1063	70
1064	81
1065	70
1066	85
1067	75
1068	81
1069	59
1070	65
1071	69
1072	74
1073	61
1074	68
1075	75
1076	75
1077	62
1078	67
1079	83
1080	68
1081	72
1082	56
1083	77
1084	71
1085	54
1086	84
1087	74
1088	73
1089	74
1090	72
1091	75
1092	81
1093	64
1094	70
1095	86
1096	71
1097	66
1098	87
1099	70
1100	58
1101	73
1102	79
1103	77
1104	60
1105	83
1106	76
1107	80
1108	86
1109	74
1110	78
1111	65
1112	55
1113	81
1114	73
1115	82
1116	91
1117	58
1118	87
1119	82
1120	75
1121	74
1122	73
1123	66
1124	76
1125	74
1126	59
1127	91
1128	63
1129	85
1130	75
1131	80
1132	72
1133	76
1134	86
1135	84
1136	73
1137	97
1138	94
1139	88
1140	83
1141	92
1142	93
1143	86
1144	83
1145	77
1146	87
1147	99
1148	93
1149	98
1150	84
1151	101
1152	101
1153	94
1154	86
1155	91
1156	89
1157	104
1158	91
1159	113
1160	98
1161	108
1162	101
1163	102
1164	90
1165	107
1166	110
1167	103
1168	80
1169	107
1170	107
1171	96
1172	105
1173	105
1174	109
1175	115
1176	96
1177	92
1178	92
1179	104
1180	110
1181	112
1182	95
1183	90
1184	89
1185	101
1186	75
1187	96
1188	86
1189	97
1190	100
1191	107
1192	96
1193	90
1194	100
1195	89
1196	88
1197	87
1198	122
1199	101
1200	105
1201	85
1202	87
1203	99
1204	85
1205	82
1206	87
1207	88
1208	89
1209	105
1210	107
1211	110
1212	88
1213	110
1214	91
1215	74
1216	93
1217	75
1218	89
1219	95
1220	84
1221	83
1222	90
1223	102
1224	105
1225	89
1226	93
1227	93
1228	101
1229	116
1230	82
1231	96
1232	82
1233	91
1234	114
1235	110
1236	96
1237	95
1238	91
1239	113
1240	92
1241	111
1242	92
1243	105
1244	101
1245	86
1246	97
1247	80
1248	84
1249	99
1250	102
1251	104
1252	79
1253	106
1254	88
1255	104
1256	88
1257	88
1258	116
1259	107
1260	94
1261	96
1262	92
1263	96
1264	97
1265	115
1266	109
1267	103
1268	98
1269	109
1270	104
1271	109
1272	86
1273	111
1274	103
1275	129
1276	118
1277	119
1278	114
1279	102
1280	112
1281	131
1282	128
1283	105
1284	104
1285	102
1286	104
1287	118
1288	123
1289	115
1290	126
1291	105
1292	126
1293	137
1294	127
1295	130
1296	100
1297	124
1298	115
1299	107
1300	118
1301	98
1302	121
1303	127
1304	129
1305	106
1306	104
1307	128
1308	121
1309	91
1310	110
1311	118
1312	121
1313	94
1314	126
1315	129
1316	119
1317	134
1318	94
1319	100
1320	101
1321	116
1322	126
1323	102
1324	113
1325	122
1326	112
1327	92
1328	123
1329	108
1330	112
1331	110
1332	123
1333	103
1334	98
1335	102
1336	122
1337	108
1338	97
1339	105
1340	116
1341	94
1342	109
1343	91
1344	110
1345	103
1346	106
1347	110
1348	106
1349	103
1350	102
1351	109
1352	102
1353	108
1354	99
1355	125
1356	116
1357	118
1358	104
1359	95
1360	91
1361	112
1362	107
1363	105
1364	107
1365	97
1366	102
1367	101
1368	97
1369	103
1370	124
1371	112
1372	115
1373	112
1374	111
1375	122
1376	91
1377	110
1378	103
1379	108
1380	93
1381	105
1382	113
1383	113
1384	106
1385	99
1386	118
1387	105
1388	105
1389	112
1390	89
1391	97
1392	109
1393	113
1394	105
1395	100
1396	98
1397	103
1398	87
1399	96
1400	123
1401	107
1402	96
1403	90
1404	99
1405	104
1406	118
1407	100
1408	107
1409	108
1410	86
1411	110
1412	122
1413	98
1414	100
1415	121
1416	110
1417	122
1418	102
1419	119
1420	124
1421	102
1422	124
1423	100
1424	118
1425	101
1426	104
1427	106
1428	109
1429	94
1430	111
1431	91
1432	115
1433	110
1434	103
1435	109
1436	105
1437	99
1438	102
1439	117
1440	109
1441	101
1442	116
1443	100
1444	109
1445	86
1446	107
1447	92
1448	94
1449	97
1450	84
1451	95
1452	117
1453	98
1454	103
1455	117
1456	101
1457	92
1458	92
1459	106
1460	104
1461	89
1462	107
1463	99
1464	83
1465	102
1466	96
1467	97
1468	79
1469	117
1470	100
1471	71
1472	106
1473	104
1474	100
1475	82
1476	86
1477	106
1478	84
1479	95
1480	71
1481	112
1482	115
1483	87
1484	105
