genome	MAG	Representative
SRS1992958_vamb_2533	MAG01	SRS1992958_vamb_2533
SRS1992958_vamb_2840	MAG02	SRS1992958_vamb_2840
SRS1992958_vamb_477	MAG03	SRS1992958_vamb_477
SRS1992958_vamb_6	MAG04	SRS1992958_vamb_6
SRS1992960_vamb_1291	MAG05	SRS1993000_vamb_1021
SRS1992960_vamb_1410	MAG06	SRS1993132_vamb_4798
SRS1992960_vamb_1482	MAG07	SRS1993108_vamb_3038
SRS1992960_vamb_1715	MAG08	SRS1992999_vamb_2008
SRS1992960_vamb_226	MAG09	SRS1992960_vamb_226
SRS1992960_vamb_2292	MAG10	SRS1992960_vamb_2292
SRS1992960_vamb_429	MAG03	SRS1992958_vamb_477
SRS1992960_vamb_507	MAG11	SRS1992960_vamb_507
SRS1992960_vamb_8	MAG12	SRS1992995_vamb_8
SRS1992962_vamb_1479	MAG07	SRS1993108_vamb_3038
SRS1992962_vamb_1583	MAG13	SRS1992962_vamb_1583
SRS1992962_vamb_210	MAG14	SRS1992995_vamb_640
SRS1992962_vamb_224	MAG15	SRS1992962_vamb_224
SRS1992962_vamb_4401	MAG16	SRS1992962_vamb_4401
SRS1992962_vamb_930	MAG17	SRS1992962_vamb_930
SRS1992964_vamb_1277	MAG18	SRS1992978_vamb_1277
SRS1992964_vamb_1448	MAG03	SRS1992958_vamb_477
SRS1992964_vamb_1482	MAG07	SRS1993108_vamb_3038
SRS1992964_vamb_1552	MAG11	SRS1992960_vamb_507
SRS1992964_vamb_2020	MAG02	SRS1992958_vamb_2840
SRS1992964_vamb_233	MAG09	SRS1992960_vamb_226
SRS1992964_vamb_31	MAG19	SRS1992964_vamb_31
SRS1992964_vamb_509	MAG20	SRS1993004_vamb_186
SRS1992966_vamb_1287	MAG11	SRS1992960_vamb_507
SRS1992966_vamb_2133	MAG07	SRS1993108_vamb_3038
SRS1992968_vamb_126	MAG21	SRS1993000_vamb_126
SRS1992968_vamb_1576	MAG07	SRS1993108_vamb_3038
SRS1992968_vamb_187	MAG22	SRS1992968_vamb_187
SRS1992968_vamb_602	MAG02	SRS1992958_vamb_2840
SRS1992970_vamb_1296	MAG03	SRS1992958_vamb_477
SRS1992970_vamb_1514	MAG23	SRS1993058_vamb_521
SRS1992970_vamb_1932	MAG24	SRS1992988_vamb_1045
SRS1992970_vamb_2217	MAG07	SRS1993108_vamb_3038
SRS1992972_vamb_1296	MAG03	SRS1992958_vamb_477
SRS1992972_vamb_1351	MAG07	SRS1993108_vamb_3038
SRS1992972_vamb_1665	MAG23	SRS1993058_vamb_521
SRS1992972_vamb_1946	MAG11	SRS1992960_vamb_507
SRS1992972_vamb_2712	MAG25	SRS1992972_vamb_2712
SRS1992972_vamb_641	MAG26	SRS1993062_vamb_641
