Sample	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences
SRS1992958	0.01262144	0.0	19176796.0	64.35285214995578	54.72386235316423	1.0236061403817855	29799450.0
SRS1992960	0.01657764	0.0	29720938.0	76.26564384288295	53.04910787922408	1.2634036744510253	38970284.0
SRS1992962	0.0222397	0.0	22836055.0	55.753304283545646	46.53280762524455	0.649333020110351	40959106.0
SRS1992964	0.01880708	0.0	33288288.0	73.0947057476078	63.3087426203268	0.6585273608279006	45541312.0
SRS1992966	0.02135306	0.0	5672267.0	18.98587593635425	17.085265665572575	0.19049582065966386	29876246.0
SRS1992968	0.0225984	0.0	10802407.0	31.697847268495003	21.32779808791892	0.1762653161854108	34079308.0
SRS1992970	0.01658326	0.0	16495213.0	71.14869475425874	59.430990323557396	0.8897893128664682	23184140.0
SRS1992972	0.007286512	0.0	19819687.0	73.88407011179635	60.68290685546892	1.196802909005671	26825386.0
SRS1992974	0.01236611	0.0	18476893.0	71.8855298107443	55.27663153124496	0.432953603938122	25703216.0
SRS1992976	0.01308048	0.0	6172733.0	70.30221808365609	53.84387426280841	0.5610753732055531	8780282.0
SRS1992978	0.008509582	0.0	15863937.0	53.44321689556203	44.4179173745181	0.8268740135166329	29683724.0
SRS1992980	0.02102635	0.0	33051061.0	85.4866332683742	65.69571108318148	2.140089807485626	38662256.0
SRS1992988	0.01281097	0.0	19742527.0	63.15015139062569	54.01202590910344	0.3704142753021047	31262834.0
SRS1992990	0.02174077	0.0	14099684.0	70.20771093134658	57.69253253055074	0.8083329358126804	20082814.0
SRS1992991	0.02089179	0.0	18083365.0	68.86983616142219	56.04394022418444	1.1441043384950202	26257308.0
SRS1992992	0.01542486	0.0	18920352.0	73.60495338115491	67.0865935273195	0.5042701360460325	25705270.0
SRS1992993	0.0227797	0.0	15045582.0	70.5836471826744	60.5153321736389	0.2989168679243159	21315960.0
SRS1992994	0.01644127	0.0	26193305.0	72.40895853671306	50.39195146187653	0.6300166732450341	36174122.0
SRS1992995	0.01772582	0.0	22520142.0	77.27816622126768	60.946359202162185	0.8122254660698488	29141662.0
SRS1992998	0.01789786	0.0	22349966.0	75.46565588229852	66.2618302303114	1.1016348013153396	29616076.0
SRS1992999	0.01118114	0.0	24228649.0	81.10200235038207	64.93272543496596	0.8131104830869297	29874292.0
SRS1993000	0.00457035	0.0	18801515.0	81.77097395647769	74.30183653246638	0.958713508728957	22992896.0
SRS1993001	0.01561699	0.0	27017751.0	72.258110016594	59.12856632950718	1.2144090492870752	37390614.0
SRS1993002	0.01679364	0.0	17949915.0	73.37710935661093	64.4836021619002	1.1098881989182323	24462554.0
SRS1993003	0.01587844	0.0	25796326.0	78.68934780056962	72.35823589716559	0.9860355931496109	32782488.0
SRS1993004	0.02460349	0.0	21846779.0	72.69648764633033	63.87051502190766	0.9610694674258741	30052042.0
SRS1993006	0.01562913	0.0	24759023.0	78.27485713642581	68.11294129191995	0.9619366849024351	31630876.0
SRS1993058	0.02626643	0.0	11759402.0	79.5534954782768	66.53075135738288	1.4732757695737597	14781754.0
SRS1993062	0.01709163	0.0	27335063.0	80.89844328492084	73.030376784926	1.4567161327371851	33789356.0
SRS1993066	0.01672042	0.0	17459496.0	51.79745317683603	41.68486848881878	0.8623723894635362	33707248.0
SRS1993078	0.008096861	0.0	22852651.0	83.93774106804022	68.06965884753959	3.025363961043302	27225716.0
SRS1993092	0.01100074	0.0	24184307.0	64.3508435616899	56.5768553091353	0.5906078656146654	37581958.0
SRS1993106	0.01454069	0.0	23179006.0	79.05232321822643	55.912538597638964	1.5780209292327225	29321094.0
SRS1993108	0.01696688	0.0	16750001.0	73.22688432872198	34.798488807041885	0.9575059388092585	22874114.0
SRS1993116	0.01768422	0.0	30457952.0	80.33109396890772	44.159104240163394	1.885077667403744	37915520.0
SRS1993122	0.01696306	0.0	27706616.0	73.14803437970943	36.98205407554013	1.2878847360876224	37877458.0
SRS1993132	0.02026298	0.0	30272299.0	83.14710382480041	54.11451323965571	2.690218407859653	36408122.0
SRS1993134	0.02845553	0.0	13144018.0	60.34065983504583	53.39556223149958	0.8674417045937615	21783020.0
SRS1993140	0.01208274	0.0	21019407.0	81.10092557981467	77.12807578728764	1.2664293812480727	25917592.0
SRS1993148	0.01010686	0.0	21413888.0	74.62319341684363	69.5222424906142	0.40116361773070847	28696022.0
SRS1993150	0.01100607	0.0	18988044.0	79.58384134904945	70.85349574188876	1.249205232202126	23859170.0
SRS1993166	0.003215836	0.0	23314178.0	94.55139287649064	90.69757501091547	1.9006736968501252	24657678.0
SRS1993172	0.01337899	0.0	18395287.0	80.48065825544981	73.09003280427076	1.2615731524737956	22856780.0
