Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRS1992958	29799450.0	0.0	29799450.0	0.0	14899725.0	14899725.0	19176796.0	18733934.0	10622654.0	16307410.0	29799450.0	0.0	305029.0	0.0	0.0	70017.0	3729207929.0	1864573193.0	1864634736.0	2400429923.0	2371730251.0	0.0	0.0	29934642.0	0.01262144	125.0	125.0	125.0	126.0	126.0	126.0	36.3	517.3	206.8	9165518.0	46829.0	12293.0	142327.0	54.7	64.35285214995578	62.866710627209564	35.64714785004421	54.72386235316423	100.0	0.0	1.0236061403817855	0.0
SRS1992960	38970284.0	0.0	38970284.0	0.0	19485142.0	19485142.0	29720938.0	28507680.0	9249346.0	20673388.0	38970284.0	0.0	492352.0	0.0	0.0	154112.0	4870468795.0	2435189250.0	2435279545.0	3715390963.0	3654548398.0	0.0	0.0	60583809.0	0.01657764	124.0	125.0	125.0	126.0	126.0	126.0	35.3	642.5	228.0	13533073.0	102432.0	25909.0	592426.0	53.0	76.26564384288295	73.15235372675242	23.73435615711705	53.04910787922408	100.0	0.0	1.2634036744510253	0.0
SRS1992962	40959106.0	0.0	40959106.0	0.0	20479553.0	20479553.0	22836055.0	21655722.0	18123051.0	19059422.0	40959106.0	0.0	265961.0	0.0	0.0	160093.0	5124430116.0	2562152736.0	2562277380.0	2857314231.0	2768615866.0	0.0	0.0	61573201.0	0.0222397	125.0	125.0	125.0	126.0	126.0	126.0	36.4	466.1	201.8	10335473.0	66552.0	14635.0	411201.0	46.5	55.753304283545646	52.8715690230153	44.24669571645436	46.53280762524455	100.0	0.0	0.649333020110351	0.0
SRS1992964	45541312.0	0.0	45541312.0	0.0	22770656.0	22770656.0	33288288.0	32200932.0	12253024.0	28831632.0	45541312.0	0.0	299902.0	0.0	0.0	185070.0	5694666977.0	2847278474.0	2847388503.0	4163540016.0	4078408298.0	0.0	0.0	76702952.0	0.01880708	125.0	125.0	125.0	126.0	126.0	126.0	36.5	461.7	200.1	15572752.0	111671.0	27371.0	388672.0	63.3	73.0947057476078	70.70708020006099	26.905294252392203	63.3087426203268	100.0	0.0	0.6585273608279006	0.0
SRS1992966	29876246.0	0.0	29876246.0	0.0	14938123.0	14938123.0	5672267.0	5449800.0	24203979.0	5104436.0	29876246.0	0.0	56913.0	0.0	0.0	37946.0	3730610668.0	1865224413.0	1865386255.0	708465274.0	690929230.0	0.0	0.0	14753451.0	0.02135306	124.0	125.0	125.0	126.0	126.0	126.0	36.9	407.4	172.7	2634136.0	26441.0	8094.0	56229.0	17.1	18.98587593635425	18.241247578427355	81.01412406364574	17.085265665572575	100.0	0.0	0.19049582065966386	0.0
SRS1992968	34079308.0	0.0	34079308.0	0.0	17039654.0	17039654.0	10802407.0	10263558.0	23276901.0	7268366.0	34079308.0	0.0	60070.0	0.0	0.0	45503.0	4263427287.0	2131658039.0	2131769248.0	1351140303.0	1327021114.0	0.0	0.0	29988552.0	0.0225984	125.0	125.0	125.0	126.0	126.0	126.0	35.4	664.3	224.9	4989097.0	29901.0	11767.0	101014.0	21.3	31.697847268495003	30.11668546790915	68.30215273150499	21.32779808791892	100.0	0.0	0.1762653161854108	0.0
SRS1992970	23184140.0	0.0	23184140.0	0.0	11592070.0	11592070.0	16495213.0	15991512.0	6688927.0	13778564.0	23184140.0	0.0	206290.0	0.0	0.0	98977.0	2900803524.0	1450379480.0	1450424044.0	2064356719.0	2031587163.0	0.0	0.0	33690344.0	0.01658326	125.0	125.0	125.0	126.0	126.0	126.0	35.9	535.8	197.8	7741856.0	41112.0	17043.0	195745.0	59.4	71.14869475425874	68.97608451294721	28.851305245741273	59.430990323557396	100.0	0.0	0.8897893128664682	0.0
SRS1992972	26825386.0	0.0	26825386.0	0.0	13412693.0	13412693.0	19819687.0	19229450.0	7005699.0	16278424.0	26825386.0	0.0	321047.0	0.0	0.0	122946.0	3356449008.0	1678186281.0	1678262727.0	2480790444.0	2451335194.0	0.0	0.0	17861685.0	0.007286512	125.0	125.0	125.0	126.0	126.0	126.0	36.1	543.7	203.3	9261582.0	47199.0	15784.0	290160.0	60.7	73.88407011179635	71.68377744871965	26.11592988820366	60.68290685546892	100.0	0.0	1.196802909005671	0.0
SRS1992974	25703216.0	0.0	25703216.0	0.0	12851608.0	12851608.0	18476893.0	17903044.0	7226323.0	14207872.0	25703216.0	0.0	111283.0	0.0	0.0	74091.0	3215858965.0	1607912010.0	1607946955.0	2312318774.0	2283385138.0	0.0	0.0	28236588.0	0.01236611	125.0	125.0	125.0	126.0	126.0	126.0	35.7	603.6	215.7	8739886.0	42346.0	15551.0	153739.0	55.3	71.8855298107443	69.65293370292652	28.114470189255698	55.27663153124496	100.0	0.0	0.432953603938122	0.0
SRS1992976	8780282.0	0.0	8780282.0	0.0	4390141.0	4390141.0	6172733.0	5951522.0	2607549.0	4727644.0	8780282.0	0.0	49264.0	0.0	0.0	51203.0	1097767107.0	548874394.0	548892713.0	771994166.0	761423263.0	0.0	0.0	9959783.0	0.01308048	125.0	125.0	125.0	126.0	126.0	126.0	35.2	588.1	222.7	2886394.0	15543.0	17628.0	56196.0	53.8	70.30221808365609	67.78281153156584	29.697781916343917	53.84387426280841	100.0	0.0	0.5610753732055531	0.0
