	Reads_raw_R2	Reads_raw_R1	BinGroup	Reads_QC_R1	Reads_QC_R2	Reads_QC_se
SRS1992958	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992958_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992958_R1.fastq.gz	SRS1992958	SRS1992958/sequence_quality_control/SRS1992958_QC_R1.fastq.gz	SRS1992958/sequence_quality_control/SRS1992958_QC_R2.fastq.gz	SRS1992958/sequence_quality_control/SRS1992958_QC_se.fastq.gz
SRS1992960	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992960_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992960_R1.fastq.gz	SRS1992960	SRS1992960/sequence_quality_control/SRS1992960_QC_R1.fastq.gz	SRS1992960/sequence_quality_control/SRS1992960_QC_R2.fastq.gz	SRS1992960/sequence_quality_control/SRS1992960_QC_se.fastq.gz
SRS1992962	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992962_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992962_R1.fastq.gz	SRS1992962	SRS1992962/sequence_quality_control/SRS1992962_QC_R1.fastq.gz	SRS1992962/sequence_quality_control/SRS1992962_QC_R2.fastq.gz	SRS1992962/sequence_quality_control/SRS1992962_QC_se.fastq.gz
SRS1992964	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992964_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992964_R1.fastq.gz	SRS1992964	SRS1992964/sequence_quality_control/SRS1992964_QC_R1.fastq.gz	SRS1992964/sequence_quality_control/SRS1992964_QC_R2.fastq.gz	SRS1992964/sequence_quality_control/SRS1992964_QC_se.fastq.gz
SRS1992966	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992966_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992966_R1.fastq.gz	SRS1992966	SRS1992966/sequence_quality_control/SRS1992966_QC_R1.fastq.gz	SRS1992966/sequence_quality_control/SRS1992966_QC_R2.fastq.gz	SRS1992966/sequence_quality_control/SRS1992966_QC_se.fastq.gz
SRS1992968	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992968_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992968_R1.fastq.gz	SRS1992968	SRS1992968/sequence_quality_control/SRS1992968_QC_R1.fastq.gz	SRS1992968/sequence_quality_control/SRS1992968_QC_R2.fastq.gz	SRS1992968/sequence_quality_control/SRS1992968_QC_se.fastq.gz
SRS1992970	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992970_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992970_R1.fastq.gz	SRS1992970	SRS1992970/sequence_quality_control/SRS1992970_QC_R1.fastq.gz	SRS1992970/sequence_quality_control/SRS1992970_QC_R2.fastq.gz	SRS1992970/sequence_quality_control/SRS1992970_QC_se.fastq.gz
SRS1992972	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992972_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992972_R1.fastq.gz	SRS1992972	SRS1992972/sequence_quality_control/SRS1992972_QC_R1.fastq.gz	SRS1992972/sequence_quality_control/SRS1992972_QC_R2.fastq.gz	SRS1992972/sequence_quality_control/SRS1992972_QC_se.fastq.gz
SRS1992974	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992974_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992974_R1.fastq.gz	SRS1992974	SRS1992974/sequence_quality_control/SRS1992974_QC_R1.fastq.gz	SRS1992974/sequence_quality_control/SRS1992974_QC_R2.fastq.gz	SRS1992974/sequence_quality_control/SRS1992974_QC_se.fastq.gz
SRS1992976	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992976_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992976_R1.fastq.gz	SRS1992976	SRS1992976/sequence_quality_control/SRS1992976_QC_R1.fastq.gz	SRS1992976/sequence_quality_control/SRS1992976_QC_R2.fastq.gz	SRS1992976/sequence_quality_control/SRS1992976_QC_se.fastq.gz
SRS1992978	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992978_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992978_R1.fastq.gz	SRS1992978	SRS1992978/sequence_quality_control/SRS1992978_QC_R1.fastq.gz	SRS1992978/sequence_quality_control/SRS1992978_QC_R2.fastq.gz	SRS1992978/sequence_quality_control/SRS1992978_QC_se.fastq.gz
SRS1992980	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992980_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992980_R1.fastq.gz	SRS1992980	SRS1992980/sequence_quality_control/SRS1992980_QC_R1.fastq.gz	SRS1992980/sequence_quality_control/SRS1992980_QC_R2.fastq.gz	SRS1992980/sequence_quality_control/SRS1992980_QC_se.fastq.gz
SRS1992988	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992988_R2.fastq.gz	/scratch/rdkiesersi1/Diarhea/Reads/fastq/SRS1992988_R1.fastq.gz	SRS1992988	SRS1992988/sequence_quality_control/SRS1992988_QC_R1.fastq.gz	SRS1992988/sequence_quality_control/SRS1992988_QC_R2.fastq.gz	SRS1992988/sequence_quality_control/SRS1992988_QC_se.fastq.gz
