	Mean	Median	Mode	STDev	PercentOfPairs
SRS1992958	257.612	273	331	65.840	16.808
SRS1992960	222.566	234	332	80.373	7.888
SRS1992962	253.904	265	292	62.039	23.421
SRS1992964	253.976	266	290	63.041	26.300
SRS1992966	246.436	257	292	65.938	32.915
SRS1992968	226.722	240	329	80.376	6.785
SRS1992970	250.492	267	330	70.082	12.244
SRS1992972	253.096	271	332	70.975	13.156
SRS1992974	247.378	267	338	75.922	8.804
SRS1992976	244.865	263	332	75.824	10.107
SRS1992978	246.771	265	333	74.344	11.853
SRS1992980	245.353	264	336	76.194	9.789
SRS1992988	248.476	264	331	70.165	12.973
SRS1992990	253.517	264	291	61.819	24.055
SRS1992991	235.495	252	330	78.176	13.810
SRS1992992	195.887	198	281	83.289	37.605
SRS1992993	262.502	278	333	63.788	19.738
SRS1992994	241.196	260	337	78.240	6.608
SRS1992995	256.380	272	333	66.278	10.855
SRS1992998	251.289	262	290	63.311	28.900
SRS1992999	242.155	259	334	75.467	9.433
SRS1993000	236.384	249	289	72.928	32.944
SRS1993001	253.851	264	290	60.608	21.621
SRS1993002	249.639	264	324	68.023	24.853
SRS1993003	232.568	244	289	72.685	40.829
SRS1993004	241.439	249	278	62.620	37.503
SRS1993006	244.124	259	310	71.698	21.307
SRS1993058	239.452	251	289	69.778	32.324
SRS1993062	231.677	237	241	63.633	42.167
SRS1993066	221.431	232	330	79.603	21.174
SRS1993078	256.346	275	333	69.911	11.762
SRS1993092	259.221	276	334	66.389	21.055
SRS1993106	248.953	268	332	73.936	7.435
SRS1993108	194.475	193	237	82.430	10.861
SRS1993116	187.603	185	119	80.449	19.555
SRS1993122	186.420	183	101	80.997	17.468
SRS1993132	186.535	184	165	79.043	26.616
SRS1993134	209.933	210	205	65.925	50.285
SRS1993140	201.795	199	183	71.092	66.010
SRS1993148	207.955	207	196	70.929	56.385
SRS1993150	224.530	226	231	64.617	38.784
SRS1993166	208.540	207	183	70.953	61.538
SRS1993172	218.949	220	224	67.005	45.852
