Sample	Step	Total_Reads	Total_Bases	Reads_pe	Bases_pe	Reads_se	Bases_se	Timestamp
SRS1992958	QC	14920322.0	3731770795	14899725.0	3729207929	20597	2562866	2023-06-22-10:05:07
SRS1992958	clean	14920322.0	3731770795	14899725.0	3729207929	20597	2562866	2023-06-22-09:18:25
SRS1992958	deduplicated	17111506.0	4283777960	17111506.0	4283777960	0	0	2023-06-22-08:23:27
SRS1992958	filtered	17081972.0	4270239260	17047894.0	4265991634	34078	4247626	2023-06-22-08:31:27
SRS1992958	raw	19699802.0	4933079016	19699802.0	4933079016	0	0	2023-06-22-08:14:37
SRS1992960	QC	19510757.0	4873627942	19485142.0	4870468795	25615	3159147	2023-06-22-09:41:02
SRS1992960	clean	19510757.0	4873627942	19485142.0	4870468795	25615	3159147	2023-06-22-09:39:00
SRS1992960	deduplicated	20294845.0	5071127215	20294845.0	5071127215	0	0	2023-06-22-08:20:17
SRS1992960	filtered	20246709.0	5056319492	20216155.0	5052545848	30554	3773644	2023-06-22-08:27:17
SRS1992960	raw	22451491.0	5611572353	22451491.0	5611572353	0	0	2023-06-22-08:12:26
SRS1992962	QC	20547665.0	5132942680	20479553.0	5124430116	68112	8512564	2023-06-22-09:25:04
SRS1992962	clean	20547665.0	5132942680	20479553.0	5124430116	68112	8512564	2023-06-22-09:22:34
SRS1992962	deduplicated	20575094.0	5151127608	20575094.0	5151127608	0	0	2023-06-22-08:21:28
SRS1992962	filtered	20549595.0	5133416831	20481455.0	5124900776	68140	8516055	2023-06-22-08:28:39
SRS1992962	raw	22863866.0	5725190622	22863866.0	5725190622	0	0	2023-06-22-08:13:29
SRS1992964	QC	22847796.0	5704303042	22770656.0	5694666977	77140	9636065	2023-06-22-09:33:45
SRS1992964	clean	22770656.0	5694666977	22770656.0	5694666977	0	0	2023-06-22-09:33:19
SRS1992964	deduplicated	22903295.0	5729816851	22903295.0	5729816851	0	0	2023-06-22-08:21:04
SRS1992964	filtered	22868968.0	5709490455	22791577.0	5699823115	77391	9667340	2023-06-22-08:28:28
SRS1992964	raw	25727641.0	6438079472	25727641.0	6438079472	0	0	2023-06-22-08:12:20
SRS1992966	QC	14950217.0	3732086776	14938123.0	3730610668	12094	1476108	2023-06-22-08:43:51
SRS1992966	clean	14938123.0	3730610668	14938123.0	3730610668	0	0	2023-06-22-08:43:47
SRS1992966	deduplicated	15234656.0	3803302428	15234656.0	3803302428	0	0	2023-06-22-08:21:39
SRS1992966	filtered	15201324.0	3794129133	15187553.0	3792445111	13771	1684022	2023-06-22-08:36:07
SRS1992966	raw	23019598.0	5756219308	23019598.0	5756219308	0	0	2023-06-22-08:13:46
SRS1992968	QC	17050887.0	4264804866	17039654.0	4263427287	11233	1377579	2023-06-22-09:27:35
SRS1992968	clean	17050887.0	4264804866	17039654.0	4263427287	11233	1377579	2023-06-22-09:16:53
SRS1992968	deduplicated	17083025.0	4274537058	17083025.0	4274537058	0	0	2023-06-22-08:20:41
SRS1992968	filtered	17055404.0	4265910246	17044046.0	4264517161	11358	1393085	2023-06-22-08:31:04
SRS1992968	raw	22264775.0	5575021461	22264775.0	5575021461	0	0	2023-06-22-08:12:18
SRS1992970	QC	11627638.0	2905243525	11592070.0	2900803524	35568	4440001	2023-06-22-10:16:05
SRS1992970	clean	11627638.0	2905243525	11592070.0	2900803524	35568	4440001	2023-06-22-09:35:26
SRS1992970	deduplicated	15470995.0	3869149126	15470995.0	3869149126	0	0	2023-06-22-08:24:44
SRS1992970	filtered	15425686.0	3849328306	15361587.0	3841327254	64099	8001052	2023-06-22-08:30:14
SRS1992970	raw	17233642.0	4311069513	17233642.0	4311069513	0	0	2023-06-22-08:15:25
SRS1992972	QC	13429553.0	3358540969	13412693.0	3356449008	16860	2091961	2023-06-22-10:41:08
SRS1992972	clean	13429553.0	3358540969	13412693.0	3356449008	16860	2091961	2023-06-22-10:39:30
SRS1992972	deduplicated	13460817.0	3369629533	13460817.0	3369629533	0	0	2023-06-22-08:27:07
SRS1992972	filtered	13441249.0	3361396323	13424237.0	3359285501	17012	2110822	2023-06-22-08:34:47
SRS1992972	raw	14965825.0	3747181938	14965825.0	3747181938	0	0	2023-06-22-08:17:23
SRS1992974	QC	12860395.0	3216941270	12851608.0	3215858965	8787	1082305	2023-06-22-10:17:17
SRS1992974	clean	12851608.0	3215858965	12851608.0	3215858965	0	0	2023-06-22-10:17:00
SRS1992974	deduplicated	13123103.0	3283912428	13123103.0	3283912428	0	0	2023-06-22-08:26:56
SRS1992974	filtered	13101794.0	3276494931	13091097.0	3275175487	10697	1319444	2023-06-22-08:35:09
SRS1992974	raw	14612809.0	3657472473	14612809.0	3657472473	0	0	2023-06-22-08:16:58
SRS1992976	QC	4481965.0	1109273323	4390141.0	1097767107	91824	11506216	2023-06-22-10:43:03
SRS1992976	clean	4390141.0	1097767107	4390141.0	1097767107	0	0	2023-06-22-10:42:35
SRS1992976	deduplicated	18980062.0	4730963230	18980062.0	4730963230	0	0	2023-06-22-08:21:06
SRS1992976	filtered	18857050.0	4677639491	18642178.0	4650776641	214872	26862850	2023-06-22-08:25:11
SRS1992976	raw	23546758.0	5876072482	23546758.0	5876072482	0	0	2023-06-22-08:12:20
SRS1992978	QC	14852119.0	3712263151	14841862.0	3711006670	10257	1256481	2023-06-22-10:01:58
SRS1992978	clean	14852119.0	3712263151	14841862.0	3711006670	10257	1256481	2023-06-22-09:59:58
SRS1992978	deduplicated	15461896.0	3864539294	15461896.0	3864539294	0	0	2023-06-22-08:23:58
SRS1992978	filtered	15428381.0	3854532529	15413529.0	3852706848	14852	1825681	2023-06-22-08:33:22
SRS1992978	raw	17891528.0	4473675942	17891528.0	4473675942	0	0	2023-06-22-08:15:12
SRS1992980	QC	19351274.0	4839530459	19331128.0	4837040929	20146	2489530	2023-06-22-09:45:48
SRS1992980	clean	19331128.0	4837040929	19331128.0	4837040929	0	0	2023-06-22-09:44:02
SRS1992980	deduplicated	19483631.0	4875300524	19483631.0	4875300524	0	0	2023-06-22-08:21:06
SRS1992980	filtered	19450652.0	4863842646	19429059.0	4861173150	21593	2669496	2023-06-22-08:30:15
SRS1992980	raw	22499462.0	5631956100	22499462.0	5631956100	0	0	2023-06-22-08:12:53
SRS1992988	QC	15649604.0	3912291228	15631417.0	3910037007	18187	2254221	2023-06-22-09:37:09
SRS1992988	clean	15649604.0	3912291228	15631417.0	3910037007	18187	2254221	2023-06-22-09:09:04
SRS1992988	deduplicated	16679321.0	4172254802	16679321.0	4172254802	0	0	2023-06-22-08:23:29
SRS1992988	filtered	16649164.0	4160412227	16624240.0	4157319813	24924	3092414	2023-06-22-08:30:25
SRS1992988	raw	18706014.0	4680434902	18706014.0	4680434902	0	0	2023-06-22-08:15:01
SRS1992990	QC	10054753.0	2514266381	10041407.0	2512607542	13346	1658839	2023-06-22-10:37:36
SRS1992990	clean	10054753.0	2514266381	10041407.0	2512607542	13346	1658839	2023-06-22-10:36:35
SRS1992990	deduplicated	10130090.0	2536445743	10130090.0	2536445743	0	0	2023-06-22-08:29:41
SRS1992990	filtered	10120506.0	2530545668	10106427.0	2528795088	14079	1750580	2023-06-22-08:36:20
SRS1992990	raw	12040543.0	3015858762	12040543.0	3015858762	0	0	2023-06-22-08:18:09
SRS1992991	QC	13165705.0	3282180062	13128654.0	3277585175	37051	4594887	2023-06-22-10:06:29
SRS1992991	clean	13165705.0	3282180062	13128654.0	3277585175	37051	4594887	2023-06-22-09:44:03
SRS1992991	deduplicated	16974720.0	4212737379	16974720.0	4212737379	0	0	2023-06-22-08:21:33
SRS1992991	filtered	16862419.0	4186198850	16793720.0	4177701823	68699	8497027	2023-06-22-08:30:07
SRS1992991	raw	21621936.0	5377365390	21621936.0	5377365390	0	0	2023-06-22-08:13:30
SRS1992992	QC	12874055.0	3131913689	12852635.0	3129536613	21420	2377076	2023-06-22-10:32:07
SRS1992992	clean	12874055.0	3131913689	12852635.0	3129536613	21420	2377076	2023-06-22-10:30:54
SRS1992992	deduplicated	14572484.0	3492264222	14572484.0	3492264222	0	0	2023-06-22-08:23:46
SRS1992992	filtered	14223968.0	3453647923	14192806.0	3450107080	31162	3540843	2023-06-22-08:35:07
SRS1992992	raw	19485975.0	4715245286	19485975.0	4715245286	0	0	2023-06-22-08:15:01
SRS1992993	QC	10689256.0	2671453715	10657980.0	2667546218	31276	3907497	2023-06-22-10:21:11
SRS1992993	clean	10689256.0	2671453715	10657980.0	2667546218	31276	3907497	2023-06-22-10:19:53
SRS1992993	deduplicated	15044132.0	3754254799	15044132.0	3754254799	0	0	2023-06-22-08:25:11
SRS1992993	filtered	14986116.0	3733525430	14924180.0	3725811592	61936	7713838	2023-06-22-08:33:02
SRS1992993	raw	17294168.0	4318195545	17294168.0	4318195545	0	0	2023-06-22-08:16:26
SRS1992994	QC	18100512.0	4528525837	18087061.0	4526867297	13451	1658540	2023-06-22-09:05:25
SRS1992994	clean	18100512.0	4528525837	18087061.0	4526867297	13451	1658540	2023-06-22-09:02:55
SRS1992994	deduplicated	18133003.0	4540023392	18133003.0	4540023392	0	0	2023-06-22-08:20:29
SRS1992994	filtered	18110302.0	4530929572	18096632.0	4529243724	13670	1685848	2023-06-22-08:29:50
SRS1992994	raw	20978953.0	5254059061	20978953.0	5254059061	0	0	2023-06-22-08:12:53
SRS1992995	QC	14646414.0	3658052037	14570831.0	3648589958	75583	9462079	2023-06-22-09:36:05
SRS1992995	clean	14570831.0	3648589958	14570831.0	3648589958	0	0	2023-06-22-09:35:27
SRS1992995	deduplicated	14672709.0	3677363823	14672709.0	3677363823	0	0	2023-06-22-08:24:45
SRS1992995	filtered	14658108.0	3660944659	14582367.0	3651462937	75741	9481722	2023-06-22-08:31:15
SRS1992995	raw	16533890.0	4144445651	16533890.0	4144445651	0	0	2023-06-22-08:16:11
SRS1992998	QC	14859541.0	3708187802	14808038.0	3701755828	51503	6431974	2023-06-22-10:18:38
SRS1992998	clean	14808038.0	3701755828	14808038.0	3701755828	0	0	2023-06-22-10:17:45
SRS1992998	deduplicated	14887033.0	3722935856	14887033.0	3722935856	0	0	2023-06-22-08:26:20
SRS1992998	filtered	14863938.0	3709272844	14812381.0	3702834097	51557	6438747	2023-06-22-08:33:47
SRS1992998	raw	16402855.0	4102894469	16402855.0	4102894469	0	0	2023-06-22-08:16:25
SRS1992999	QC	14969180.0	3741229686	14937146.0	3737242855	32034	3986831	2023-06-22-09:54:07
SRS1992999	clean	14969180.0	3741229686	14937146.0	3737242855	32034	3986831	2023-06-22-09:52:06
SRS1992999	deduplicated	15026541.0	3760803757	15026541.0	3760803757	0	0	2023-06-22-08:25:10
SRS1992999	filtered	15002999.0	3749611725	14970681.0	3745589479	32318	4022246	2023-06-22-08:32:23
SRS1992999	raw	16633437.0	4163853188	16633437.0	4163853188	0	0	2023-06-22-08:16:13
SRS1993000	QC	11553984.0	2865402021	11496448.0	2858263020	57536	7139001	2023-06-22-08:58:25
SRS1993000	clean	11553984.0	2865402021	11496448.0	2858263020	57536	7139001	2023-06-22-10:56:54
SRS1993000	deduplicated	12063922.0	2980955836	12063922.0	2980955836	0	0	2023-06-22-08:23:27
SRS1993000	filtered	11965125.0	2960324987	11904532.0	2952840309	60593	7484678	2023-06-22-08:36:19
SRS1993000	raw	20016721.0	4975133762	20016721.0	4975133762	0	0	2023-06-22-08:15:02
SRS1993001	QC	18740788.0	4686554416	18695307.0	4680865805	45481	5688611	2023-06-22-09:30:40
SRS1993001	clean	18695307.0	4680865805	18695307.0	4680865805	0	0	2023-06-22-09:29:50
SRS1993001	deduplicated	18970355.0	4753178424	18970355.0	4753178424	0	0	2023-06-22-08:21:07
SRS1993001	filtered	18954139.0	4739432034	18906551.0	4733480268	47588	5951766	2023-06-22-08:28:30
SRS1993001	raw	21489930.0	5385471227	21489930.0	5385471227	0	0	2023-06-22-08:13:41
SRS1993002	QC	12279341.0	3060226883	12231277.0	3054242645	48064	5984238	2023-06-22-10:14:52
SRS1993002	clean	12279341.0	3060226883	12231277.0	3054242645	48064	5984238	2023-06-22-10:12:19
SRS1993002	deduplicated	13843587.0	3451445012	13843587.0	3451445012	0	0	2023-06-22-08:27:06
SRS1993002	filtered	13794308.0	3433753568	13735748.0	3426470096	58560	7283472	2023-06-22-08:33:46
SRS1993002	raw	15686614.0	3913176277	15686614.0	3913176277	0	0	2023-06-22-08:16:35
SRS1993003	QC	16574772.0	4087736925	16391244.0	4064857882	183528	22879043	2023-06-22-10:57:59
SRS1993003	clean	16574772.0	4087736925	16391244.0	4064857882	183528	22879043	2023-06-22-10:55:56
SRS1993003	deduplicated	16721259.0	4133518713	16721259.0	4133518713	0	0	2023-06-22-08:24:01
SRS1993003	filtered	16591735.0	4091792519	16408008.0	4068889255	183727	22903264	2023-06-22-08:34:35
SRS1993003	raw	19966211.0	4944963602	19966211.0	4944963602	0	0	2023-06-22-08:15:24
SRS1993004	QC	15045621.0	3753988588	15026021.0	3751571887	19600	2416701	2023-06-22-10:25:28
SRS1993004	clean	15045621.0	3753988588	15026021.0	3751571887	19600	2416701	2023-06-22-10:24:02
SRS1993004	deduplicated	15141711.0	3780935189	15141711.0	3780935189	0	0	2023-06-22-08:26:19
SRS1993004	filtered	15114458.0	3771005958	15094340.0	3768524606	20118	2481352	2023-06-22-08:33:48
SRS1993004	raw	16461845.0	4111472080	16461845.0	4111472080	0	0	2023-06-22-08:16:35
SRS1993006	QC	15843964.0	3950402537	15815438.0	3946891810	28526	3510727	2023-06-22-10:03:45
SRS1993006	clean	15815438.0	3946891810	15815438.0	3946891810	0	0	2023-06-22-10:03:37
SRS1993006	deduplicated	15968382.0	3981879949	15968382.0	3981879949	0	0	2023-06-22-08:24:35
SRS1993006	filtered	15919137.0	3968519415	15889955.0	3964929185	29182	3590230	2023-06-22-08:33:02
SRS1993006	raw	17853725.0	4454039399	17853725.0	4454039399	0	0	2023-06-22-08:15:48
SRS1993058	QC	7447808.0	1848513051	7390877.0	1841413174	56931	7099877	2023-06-22-10:35:18
SRS1993058	clean	7447808.0	1848513051	7390877.0	1841413174	56931	7099877	2023-06-22-10:34:07
SRS1993058	deduplicated	14033410.0	3468983477	14033410.0	3468983477	0	0	2023-06-22-08:24:46
SRS1993058	filtered	13903550.0	3433021651	13793680.0	3419369133	109870	13652518	2023-06-22-08:33:03
