cluster	sample	genome
1_11	SRS1992958.sorted.bam	MAG02
1_9	SRS1992960.sorted.bam	MAG02
1_14	SRS1992964.sorted.bam	MAG02
1_1	SRS1992968.sorted.bam	MAG02
1_13	SRS1992972.sorted.bam	MAG02
1_3	SRS1992980.sorted.bam	MAG02
1_2	SRS1992991.sorted.bam	MAG02
1_15	SRS1992995.sorted.bam	MAG02
1_10	SRS1993002.sorted.bam	MAG02
1_5	SRS1993062.sorted.bam	MAG02
1_6	SRS1993078.sorted.bam	MAG02
1_7	SRS1993092.sorted.bam	MAG02
1_8	SRS1993116.sorted.bam	MAG02
1_12	SRS1993122.sorted.bam	MAG02
1_4	SRS1993132.sorted.bam	MAG02
2_35	SRS1992958.sorted.bam	MAG03
2_34	SRS1992960.sorted.bam	MAG03
2_24	SRS1992962.sorted.bam	MAG03
2_10	SRS1992964.sorted.bam	MAG03
2_8	SRS1992966.sorted.bam	MAG03
2_3	SRS1992970.sorted.bam	MAG03
2_3	SRS1992972.sorted.bam	MAG03
2_33	SRS1992974.sorted.bam	MAG03
2_16	SRS1992976.sorted.bam	MAG03
2_20	SRS1992978.sorted.bam	MAG03
2_32	SRS1992980.sorted.bam	MAG03
2_13	SRS1992988.sorted.bam	MAG03
2_15	SRS1992990.sorted.bam	MAG03
2_4	SRS1992991.sorted.bam	MAG03
2_30	SRS1992992.sorted.bam	MAG03
2_28	SRS1992993.sorted.bam	MAG03
2_7	SRS1992995.sorted.bam	MAG03
2_31	SRS1992998.sorted.bam	MAG03
2_25	SRS1992999.sorted.bam	MAG03
2_29	SRS1993001.sorted.bam	MAG03
2_5	SRS1993002.sorted.bam	MAG03
2_1	SRS1993058.sorted.bam	MAG03
2_21	SRS1993062.sorted.bam	MAG03
2_26	SRS1993066.sorted.bam	MAG03
2_12	SRS1993078.sorted.bam	MAG03
2_6	SRS1993092.sorted.bam	MAG03
2_18	SRS1993106.sorted.bam	MAG03
2_27	SRS1993108.sorted.bam	MAG03
2_17	SRS1993116.sorted.bam	MAG03
2_9	SRS1993122.sorted.bam	MAG03
2_14	SRS1993132.sorted.bam	MAG03
2_2	SRS1993134.sorted.bam	MAG03
2_22	SRS1993140.sorted.bam	MAG03
2_23	SRS1993148.sorted.bam	MAG03
2_11	SRS1993150.sorted.bam	MAG03
2_19	SRS1993172.sorted.bam	MAG03
3_1	SRS1992958.sorted.bam	MAG04
3_2	SRS1993150.sorted.bam	MAG04
4_9	SRS1992960.sorted.bam	MAG05
4_10	SRS1992962.sorted.bam	MAG05
4_1	SRS1992964.sorted.bam	MAG05
4_4	SRS1992991.sorted.bam	MAG05
4_7	SRS1992998.sorted.bam	MAG05
4_3	SRS1993000.sorted.bam	MAG05
4_5	SRS1993001.sorted.bam	MAG05
4_3	SRS1993002.sorted.bam	MAG05
4_6	SRS1993003.sorted.bam	MAG05
4_2	SRS1993004.sorted.bam	MAG05
4_8	SRS1993006.sorted.bam	MAG05
5_8	SRS1992960.sorted.bam	MAG06
5_10	SRS1992964.sorted.bam	MAG06
5_11	SRS1992988.sorted.bam	MAG06
5_7	SRS1992995.sorted.bam	MAG06
5_3	SRS1993001.sorted.bam	MAG06
5_4	SRS1993002.sorted.bam	MAG06
5_5	SRS1993062.sorted.bam	MAG06
5_12	SRS1993092.sorted.bam	MAG06
5_1	SRS1993108.sorted.bam	MAG06
5_9	SRS1993116.sorted.bam	MAG06
5_6	SRS1993122.sorted.bam	MAG06
5_13	SRS1993132.sorted.bam	MAG06
5_2	SRS1993134.sorted.bam	MAG06
6_22	SRS1992958.sorted.bam	MAG07
6_14	SRS1992960.sorted.bam	MAG07
6_11	SRS1992962.sorted.bam	MAG07
6_21	SRS1992964.sorted.bam	MAG07
