#Mean	148.671
#Median	146
#Mode	161
#STDev	51.172
#PercentOfPairs	0.301
#InsertSize	Count
35	54
36	43
37	39
38	48
39	41
40	49
41	44
42	51
43	53
44	45
45	27
46	43
47	44
48	39
49	45
50	42
51	40
52	54
53	38
54	46
55	43
56	24
57	38
58	44
59	38
60	24
61	34
62	36
63	46
64	39
65	27
66	340
67	321
68	334
69	324
70	352
71	316
72	346
73	371
74	356
75	358
76	336
77	404
78	377
79	377
80	349
81	371
82	410
83	383
84	372
85	348
86	389
87	423
88	392
89	418
90	381
91	399
92	398
93	380
94	393
95	375
96	360
97	377
98	409
99	412
100	410
101	409
102	417
103	378
104	417
105	396
106	372
107	412
108	437
109	435
110	416
111	432
112	461
113	385
114	428
115	420
116	418
117	442
118	437
119	384
120	463
121	409
122	422
123	413
124	446
125	423
126	413
127	469
128	396
129	439
130	447
131	453
132	431
133	417
134	406
135	446
136	423
137	425
138	448
139	448
140	387
141	456
142	447
143	436
144	440
145	431
146	432
147	456
148	453
149	471
150	405
151	425
152	459
153	465
154	461
155	468
156	500
157	461
158	412
159	425
160	495
161	549
162	448
163	327
164	283
165	298
166	283
167	313
168	318
169	300
170	288
171	311
172	292
173	306
174	306
175	297
176	300
177	339
178	303
179	334
180	320
181	326
182	315
183	326
184	310
185	310
186	302
187	307
188	301
189	300
190	321
191	330
192	318
193	338
194	343
195	348
196	337
197	341
198	337
199	323
200	334
201	354
202	326
203	320
204	327
205	299
206	315
207	327
208	293
209	323
210	366
211	331
212	315
213	356
214	363
215	336
216	350
217	356
218	339
219	361
220	389
221	368
222	326
223	334
224	382
225	346
226	361
227	383
228	336
229	367
230	365
231	361
232	343
233	323
234	316
235	339
236	361
237	315
238	312
239	308
240	336
241	347
242	112
