Sample	ERR675518	ERR675519	ERR675520	ERR675521	ERR675522	ERR675523	ERR675524	ERR675525	ERR675526	ERR675527	ERR675528	ERR675529	ERR675530	ERR675531	ERR675532
MAG01	17393	281563	26242	331737	23531	269746	23891	173870	44879	18197	265478	24907	237112	382671	470552
MAG02	117204	34570	86293	36247	91372	47348	114237	36185	124830	66249	32310	85776	31025	48592	47004
MAG03	240075	29109	109919	40084	35514	47457	222384	33715	269218	224061	43923	99910	23434	42421	39832
MAG04	24199	726600	18037	747249	73140	290866	13242	339349	29056	11848	616935	17239	1554720	1998016	1772326
MAG05	97526	201572	104119	254551	36218	484727	61292	375456	191088	75211	189268	90118	101951	135594	173099
MAG06	7149	842380	9283	936095	10569	161502	13102	93257	13254	6257	446328	13121	78585	173592	251158
MAG07	6495	82081	14199	166398	5704	204605	6304	266591	26933	10908	68368	10564	133507	62504	225523
MAG08	14480	899429	25	572995	16	1015786	8466	54465	30	4	552788	848	727049	26290	500
MAG09	4277446	3267	2791862	45186	5908203	65661	8819860	78435	3506002	1547817	3763	2336829	3207	30950	5389
MAG10	1527105	158149	1290291	186964	1051319	235851	2193840	292662	1894939	618327	204705	1067526	131605	171814	174299
MAG11	38	749353	76	859909	0	5148	74	2727	22	38	373148	147	294791	1088	836
MAG12	766	194204	157012	145447	648	110992	500	1669	309522	129016	92790	2066	113601	390204	39181
MAG13	15644	7087	337931	10254	579422	9623	103331	12305	16640	385456	11273	426440	4167	12493	12006
MAG14	156941	1377	115064	1135	6999	1702	428658	2102	207899	42626	1844	132127	1107	2102	2196
MAG15	3211	110578	714	262486	1072	22124	1683	7036	3937	812	107745	1827	7597	9494	8945
MAG16	4295209	4746107	3570174	2385287	3346106	5543079	6572074	3673930	4065909	1517142	3349501	1921681	3341759	3647964	42627
MAG17	74950	12759	2998	14633	190771	62558	59472	13314	584903	2583	14509	67216	9553	20836	25892
MAG18	43873	197555	52120	230243	32765	336721	48108	133427	104771	20084	407462	61831	132498	223900	203019
MAG19	20921	268840	22253	335748	17802	309932	18609	233157	70335	29041	426973	17630	225501	182536	322582
MAG20	513483	3785175	127749	3187313	367230	1018817	328556	2854313	1547454	97032	1914602	583018	1639202	2755544	3646894
MAG21	25398	52803	20525	161431	27207	68836	27114	49274	38329	21192	281046	21756	122159	390603	1036387
MAG22	403722	1065	147351	922	4723	2245	148283	37444	259842	34371	2175	261327	639	953	30149
MAG23	4675	17949	457939	17464	30828	1940376	3590	18658	9060	542095	2278779	42728	8520	23019	21910
MAG24	329952	140382	124670	346566	468863	262250	288631	401263	664904	426266	219117	443600	123281	465596	312179
MAG25	256036	298652	722080	331802	2131	533409	1028740	374340	1289904	384841	1818	902659	74345	596016	251198
MAG26	28280	30121	357448	15812	91356	89804	173569	9208	233481	120525	27583	47305	10825	35047	6610
MAG27	1803	1	180694	6	365623	21	302729	8639	7247	2106	26	11242	2	735	858
MAG28	19526	117851	33146	90649	29594	154346	13237	153540	27820	36968	181594	28726	78553	218996	151739
MAG29	109557	118	875	136	240	192	722	110	1153	378	265	513	93	222	240
MAG30	44025	84588	83264	178673	14187	1655518	62347	469511	30282	47803	409235	44681	231348	217837	305675
MAG31	11331	2196071	3226	1859568	13296	155955	35361	1143817	106787	6557	1723093	24969	1367717	2475930	1182676
MAG32	35590	404595	33477	984258	50079	508133	23698	521133	58509	37221	221672	43096	221636	189465	964710
MAG33	616126	865913	320	2167	813086	42849	924674	1238	420257	151758	968	394	965649	3678	887
MAG34	1309276	802	1008434	1292	13091	3300	1148402	2767	1611736	806480	1717	1131015	592	2146	4114
MAG35	5934484	67182	8263298	55243	104394	94828	1276371	88195	3741987	10193250	64655	9480492	48129	74413	56258
MAG36	60163	222734	60369	219259	55807	461768	85649	211699	149771	51412	414738	113834	139301	234067	203125
MAG37	2001	24514	28641	527443	89217	678142	81365	307325	147104	1851	503649	63380	344970	401486	430848
MAG38	1374093	1437414	414625	811265	2704342	1085848	234926	878770	395289	223572	1175910	210948	1061115	1412736	2073671
MAG39	172079	0	345	3	88150	18	340929	26	18424	874	21	96743	1	10	4
MAG40	4392457	3968665	1804062	1755474	4587250	1328083	5245871	25207	2971567	719976	2272398	21571	2481948	25889	3003
MAG41	60181	246943	80980	242952	62499	318061	60709	121934	92749	48502	676818	128585	207717	204536	161018
MAG42	15220	168571	6271	74103	8863	120690	1764	11378	6557	2188	139529	8306	105268	108194	63942
MAG43	16222	49087	14127	1212165	16243	444545	8371	395305	19078	20612	259611	13473	31944	554043	91304
MAG44	34338	6565	22397	15775	28945	24517	121044	22521	78118	29413	18327	27954	11252	26619	42510
