	Mean	Median	Mode	STDev	PercentOfPairs
ERR675518	152.635	155	219	51.750	3.925
ERR675519	148.671	146	161	51.172	0.301
ERR675520	153.076	153	160	48.319	2.018
ERR675521	141.667	137	136	46.424	0.626
ERR675522	134.613	128	90	46.292	2.927
ERR675523	135.116	129	89	46.387	0.803
ERR675524	145.116	142	160	48.552	0.787
ERR675525	134.450	129	128	44.910	0.886
ERR675526	152.069	149	165	48.984	0.514
ERR675527	149.771	147	160	48.413	0.673
ERR675528	150.813	149	162	50.240	0.316
ERR675529	144.288	140	129	47.794	1.584
ERR675530	151.060	147	163	49.010	0.541
ERR675531	147.526	146	161	51.917	0.126
ERR675532	152.939	153	163	51.029	0.162
