#File	ERR675519/sequence_quality_control/ERR675519_deduplicated_R1.fastq.gz	ERR675519/sequence_quality_control/ERR675519_deduplicated_R2.fastq.gz
#Total	48172516
#Matched	924167	1.91845%
#Name	Reads	ReadsPct
PhiX_read2_adapter	108002	0.22420%
I5_Nextera_Transposase_1	91167	0.18925%
Reverse_adapter	86128	0.17879%
I5_Adapter_Nextera	65112	0.13516%
I7_Nextera_Transposase_2	62054	0.12882%
RNA_PCR_Primer_Index_1_(RPI1)_2,9	57730	0.11984%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	59013	0.12250%
PhiX_read1_adapter	55306	0.11481%
TruSeq_Adapter_Index_1_6	50420	0.10467%
TruSeq_Universal_Adapter	46413	0.09635%
I5_Nextera_Transposase_2	46004	0.09550%
I7_Adapter_Nextera_No_Barcode	44623	0.09263%
Nextera_LMP_Read1_External_Adapter	37772	0.07841%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	35614	0.07393%
RNA_PCR_Primer_(RP1)_part_#_15013198	32571	0.06761%
Nextera_LMP_Read2_External_Adapter	29981	0.06224%
I7_Nextera_Transposase_1	16208	0.03365%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	6	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	6	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	5	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]505	5	0.00001%
PCR_Primers	3	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	3	0.00001%
TruSeq_Adapter_Index_25	2	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	2	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	1	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S522	1	0.00000%
TruSeq_Adapter_Index_12	1	0.00000%
TruSeq_Adapter_Index_21	1	0.00000%
TruSeq_Adapter_Index_5	1	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S518	1	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S521	1	0.00000%
RNA_PCR_Primer_Index_37_(RPI37)	1	0.00000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]517	1	0.00000%
TruSeq_Adapter_Index_2	1	0.00000%
I7_Primer_Nextera_XT_Index_Kit_v2_N728	1	0.00000%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	1	0.00000%
RNA_PCR_Primer_Index_20_(RPI20)	1	0.00000%
TruSeq_Adapter_Index_18_7	1	0.00000%
I7_Primer_Nextera_XT_Index_Kit_v2_N727	1	0.00000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	1	0.00000%
pcr_dimer	1	0.00000%
