BinID	MAG
ERR675532_metabat_16_sub	MAG01
ERR675526_metabat_38_sub	MAG02
ERR675526_metabat_30	MAG03
ERR675530_metabat_03_sub	MAG04
ERR675523_metabat_17_sub	MAG05
ERR675519_metabat_06	MAG06
ERR675525_metabat_20	MAG07
ERR675530_metabat_09	MAG08
ERR675522_metabat_05	MAG09
ERR675524_maxbin_03	MAG10
ERR675528_metabat_20	MAG11
ERR675531_metabat_14	MAG12
ERR675522_metabat_12	MAG13
ERR675524_metabat_20_sub	MAG14
ERR675521_metabat_32_sub	MAG15
ERR675531_metabat_02	MAG16
ERR675526_metabat_12	MAG17
ERR675523_metabat_26_sub	MAG18
ERR675528_metabat_27	MAG19
ERR675521_maxbin_05	MAG20
ERR675532_metabat_10_sub	MAG21
ERR675518_metabat_18	MAG22
ERR675520_metabat_18	MAG23
ERR675526_metabat_09	MAG24
ERR675526_metabat_02	MAG25
ERR675520_maxbin_13	MAG26
ERR675522_metabat_16	MAG27
ERR675531_metabat_24	MAG28
ERR675518_metabat_24	MAG29
ERR675523_maxbin_09	MAG30
ERR675532_metabat_03	MAG31
ERR675532_metabat_06	MAG32
ERR675519_metabat_02	MAG33
ERR675526_metabat_18	MAG34
ERR675529_maxbin_08	MAG35
ERR675528_metabat_30	MAG36
ERR675521_maxbin_07	MAG37
ERR675522_metabat_11	MAG38
ERR675524_metabat_16	MAG39
ERR675522_maxbin_02	MAG40
ERR675528_metabat_29_sub	MAG41
ERR675528_metabat_39_sub	MAG42
ERR675521_metabat_03_sub	MAG43
ERR675524_maxbin_11_sub	MAG44
ERR675523_metabat_04	MAG45
ERR675532_metabat_17_sub	MAG46
ERR675528_metabat_12_sub	MAG47
ERR675520_maxbin_02	MAG48
ERR675518_metabat_01	MAG49
ERR675525_metabat_17_sub	MAG50
ERR675526_metabat_33	MAG51
ERR675532_metabat_22	MAG52
ERR675523_metabat_11_sub	MAG53
ERR675523_maxbin_28	MAG54
ERR675527_metabat_04	MAG55
ERR675532_metabat_14	MAG56
ERR675526_maxbin_26	MAG57
ERR675519_metabat_03	MAG58
ERR675532_maxbin_24_sub	MAG59
ERR675529_metabat_17	MAG60
ERR675525_metabat_12	MAG61
ERR675519_metabat_05	MAG62
ERR675526_metabat_20	MAG63
