Sample	ERR675519	ERR675520	ERR675521	ERR675522	ERR675523	ERR675524	ERR675525	ERR675526	ERR675527	ERR675528	ERR675529	ERR675530	ERR675531	ERR675532
MAG01	300820	1680226	795667	1508873	1276683	991961	1461761	2052227	2679237	871173	1745324	65474	1744136	1747874
MAG02	952338	39850	1062337	35704	251947	37039	159435	67419	39360	567901	47485	125807	252059	343361
MAG03	878338	5274	14842	822070	54519	935406	8965	428790	155106	17216	3641	975470	12875	8944
MAG04	9952	1879264	289333	52058	751913	1771043	897352	2630190	1545547	105433	1433126	11140	52711	22569
MAG05	2261401	17031	1929295	34728	211964	51652	1200810	147251	20617	1791757	43327	1410084	2555391	1265819
MAG06	713820	3966	819170	4980	30964	4246	9214	5088	5077	366001	3554	286949	8724	5796
MAG07	2295621	53659	17342	43011	21874	32082	21565	53853	40587	19155	34795	1804729	28745	28530
MAG08	915763	50	587820	27	1028556	8612	55485	40	23	559056	866	725481	26735	487
MAG09	56487	5679502	84001	3243836	418730	4214352	208504	6497127	2558005	114822	3025335	25402	61259	85037
MAG10	6172	2869376	50262	5902164	73547	8768320	85501	3601213	1583087	8204	2388969	6417	37683	11862
MAG11	376925	142832	696290	99044	941696	117250	510202	348529	95350	747384	160092	398080	678324	642913
MAG12	46	187277	40	330337	90	301018	14740	54372	7826	88	59411	38	46	5952
MAG13	3714916	100106	3049671	327888	969974	295890	2836071	1498893	76100	1888307	558612	1578411	2705611	3588479
MAG14	1472601	412109	828206	2764715	1108488	227231	900860	396863	219131	1202838	210865	1088603	1453244	2119048
MAG15	31179	350049	16755	90467	89024	171570	10076	230110	118427	28402	47042	11634	35321	7359
MAG16	123773	816675	190410	592885	414794	530697	314418	1681358	1136751	219832	1164615	105230	152321	140551
MAG17	3261817	1293090	1462481	3932396	1021161	4474873	13027	2647530	618242	1853399	5071	2174052	17459	13284
MAG18	36653	8490388	47787	166280	76307	1408434	88034	3916730	10443042	50255	9729786	33706	72540	88017
MAG19	99323	96964	195837	30064	1699418	78484	495983	48284	62890	432681	56885	245946	242582	328679
MAG20	179696	153929	136521	708	102407	921	1588	290227	127035	86162	3902	108320	366341	35227
MAG21	357271	13217	883502	41745	450053	12730	457348	32592	10812	200060	20415	199996	182142	840504
MAG22	1106678	442985	611249	435833	497281	453813	394332	627747	296959	947119	429426	482728	588250	516489
MAG23	302855	639624	402715	168648	2593508	95422	347990	250328	734992	2979146	196547	221796	378585	430423
MAG24	358030	272613	265983	146801	230679	133062	137448	289145	139041	253285	190468	307705	357190	363723
MAG25	477220	36493	446221	48909	439283	23940	241379	66202	34781	645447	32937	157014	304786	578011
MAG26	1494	833787	2625	21076	4688	987639	4828	1359859	682432	2954	957863	1424	3508	4883
MAG27	799700	37247	764850	91395	319472	31054	385695	69489	34070	622398	42406	1512588	1948885	1728748
MAG28	10142	275844	13754	9867	14515	807207	15000	908734	108064	11462	421172	8796	3673	9372
MAG29	5148918	3732675	2836896	3522373	5994884	6801605	4018667	4360603	1679214	3873524	2089926	3618523	4049965	368650
MAG30	279414	683585	313632	29975	506491	980592	366946	1222004	367564	9399	857784	74675	557634	234836
MAG31	61154	86048	89246	122452	81599	85395	89594	342517	23793	267287	71985	78061	80297	178577
MAG32	126297	1081642	142222	1020753	198451	2107745	261055	1752345	398193	155102	864936	106002	150949	130865
MAG33	113786	47819	662039	116127	815679	105981	401872	204751	17256	636009	89783	427923	513418	583580
