	genome	module	module_name	steps	steps_present	step_coverage	ko_count	kos_present	genes_present
0	MAG28	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	9	8	0.8888888888888888	9	K00134,K00845,K00850,K00927,K01624,K01689,K01803,K01810,K15633	MAG28_MAG28_11_5,MAG28_MAG28_12_2,MAG28_MAG28_14_22,MAG28_MAG28_157_4,MAG28_MAG28_2_18,MAG28_MAG28_2_26,MAG28_MAG28_2_28,MAG28_MAG28_7_11,MAG28_MAG28_80_1,MAG28_MAG28_8_8
1	MAG28	M00002	Glycolysis, core module involving three-carbon compounds	5	4	0.8	5	K00134,K00927,K01689,K01803,K15633	MAG28_MAG28_11_5,MAG28_MAG28_14_22,MAG28_MAG28_157_4,MAG28_MAG28_2_18,MAG28_MAG28_2_26
2	MAG28	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	7	7	1.0	8	K00134,K00927,K01610,K01624,K01689,K01803,K04041,K15633	MAG28_MAG28_11_5,MAG28_MAG28_14_22,MAG28_MAG28_157_4,MAG28_MAG28_244_1,MAG28_MAG28_2_18,MAG28_MAG28_2_26,MAG28_MAG28_58_7,MAG28_MAG28_80_1
3	MAG28	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	7	4	0.5714285714285714	4	K00615,K01783,K01808,K01810	MAG28_MAG28_11_3,MAG28_MAG28_181_4,MAG28_MAG28_2_28,MAG28_MAG28_8_1
4	MAG28	M00005	PRPP biosynthesis, ribose 5P => PRPP	1	1	1.0	1	K00948	MAG28_MAG28_37_12
5	MAG28	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	2	0	0.0	0		
6	MAG28	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	4	3	0.75	3	K00615,K01783,K01808	MAG28_MAG28_11_3,MAG28_MAG28_181_4,MAG28_MAG28_8_1
7	MAG28	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	4	1	0.25	1	K01625	MAG28_MAG28_64_10
8	MAG28	M00009	Citrate cycle (TCA cycle, Krebs cycle)	8	4	0.5	9	K00024,K00174,K00175,K00176,K00177,K00239,K00240,K00241,K01676	MAG28_MAG28_157_5,MAG28_MAG28_159_2,MAG28_MAG28_228_2,MAG28_MAG28_228_3,MAG28_MAG28_57_10,MAG28_MAG28_57_11,MAG28_MAG28_57_13,MAG28_MAG28_8_21,MAG28_MAG28_8_22,MAG28_MAG28_8_23
9	MAG28	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	3	0	0.0	0		
10	MAG28	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	5	4	0.8	9	K00024,K00174,K00175,K00176,K00177,K00239,K00240,K00241,K01676	MAG28_MAG28_157_5,MAG28_MAG28_159_2,MAG28_MAG28_228_2,MAG28_MAG28_228_3,MAG28_MAG28_57_10,MAG28_MAG28_57_11,MAG28_MAG28_57_13,MAG28_MAG28_8_21,MAG28_MAG28_8_22,MAG28_MAG28_8_23
11	MAG28	M00012	Glyoxylate cycle	5	1	0.2	1	K00024	MAG28_MAG28_157_5
12	MAG28	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	5	0	0.0	0		
13	MAG28	M00014	Glucuronate pathway (uronate pathway)	8	1	0.125	1	K00012	MAG28_MAG28_3_9
14	MAG28	M00015	Proline biosynthesis, glutamate => proline	2	0	0.0	0		
15	MAG28	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	9	1	0.1111111111111111	1	K00133	MAG28_MAG28_74_8
16	MAG28	M00017	Methionine biosynthesis, apartate => homoserine => methionine	7	3	0.42857142857142855	3	K00003,K00133,K00548	MAG28_MAG28_18_4,MAG28_MAG28_58_4,MAG28_MAG28_74_8
17	MAG28	M00018	Threonine biosynthesis, aspartate => homoserine => threonine	5	3	0.6	3	K00003,K00133,K01733	MAG28_MAG28_46_3,MAG28_MAG28_58_4,MAG28_MAG28_74_8
18	MAG28	M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	4	1	0.25	1	K00826	MAG28_MAG28_36_15
19	MAG28	M00020	Serine biosynthesis, glycerate-3P => serine	3	1	0.3333333333333333	1	K00831	MAG28_MAG28_47_1
20	MAG28	M00021	Cysteine biosynthesis, serine => cysteine	2	1	0.5	1	K00640	MAG28_MAG28_20_1
21	MAG28	M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	4	3	0.75	5	K00014,K00800,K00891,K01736,K03786	MAG28_MAG28_199_2,MAG28_MAG28_201_4,MAG28_MAG28_22_6,MAG28_MAG28_47_11,MAG28_MAG28_54_3
22	MAG28	M00023	Tryptophan biosynthesis, chorismate => tryptophan	3	0	0.0	0		
23	MAG28	M00024	Phenylalanine biosynthesis, chorismate => phenylalanine	2	1	0.5	1	K04516	MAG28_MAG28_161_3
24	MAG28	M00025	Tyrosine biosynthesis, chorismate => tyrosine	2	1	0.5	1	K04516	MAG28_MAG28_161_3
25	MAG28	M00026	Histidine biosynthesis, PRPP => histidine	6	1	0.16666666666666666	1	K04486	MAG28_MAG28_224_1
26	MAG28	M00027	GABA (gamma-Aminobutyrate) shunt	3	1	0.3333333333333333	1	K01580	MAG28_MAG28_44_10
27	MAG28	M00028	Ornithine biosynthesis, glutamate => ornithine	4	0	0.0	0		
28	MAG28	M00029	Urea cycle	5	0	0.0	0		
29	MAG28	M00030	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	8	1	0.125	1	K00290	MAG28_MAG28_109_9
30	MAG28	M00031	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	5	0	0.0	0		
31	MAG28	M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	6	1	0.16666666666666666	1	K00290	MAG28_MAG28_109_9
32	MAG28	M00033	Ectoine biosynthesis, aspartate => ectoine	5	1	0.2	1	K00133	MAG28_MAG28_74_8
33	MAG28	M00034	Methionine salvage pathway	8	2	0.25	2	K00789,K01243	MAG28_MAG28_187_4,MAG28_MAG28_99_9
34	MAG28	M00035	Methionine degradation	4	1	0.25	1	K00789	MAG28_MAG28_187_4
35	MAG28	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	6	1	0.16666666666666666	1	K00826	MAG28_MAG28_36_15
36	MAG28	M00037	Melatonin biosynthesis, tryptophan => serotonin => melatonin	4	0	0.0	0		
37	MAG28	M00038	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	7	0	0.0	0		
38	MAG28	M00039	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	10	1	0.1	1	K00588	MAG28_MAG28_188_4
39	MAG28	M00040	Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine	2	0	0.0	0		
40	MAG28	M00042	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	4	0	0.0	0		
41	MAG28	M00043	Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine	1	0	0.0	0		
42	MAG28	M00044	Tyrosine degradation, tyrosine => homogentisate	5	0	0.0	0		
43	MAG28	M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate	4	4	1.0	4	K01468,K01712,K01745,K13990	MAG28_MAG28_10_24,MAG28_MAG28_10_25,MAG28_MAG28_10_26,MAG28_MAG28_10_27
44	MAG28	M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	3	0	0.0	0		
45	MAG28	M00047	Creatine pathway	3	0	0.0	0		
46	MAG28	M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	8	8	1.0	9	K00602,K00764,K01588,K01756,K01923,K01933,K01945,K01952,K08289	MAG28_MAG28_196_5,MAG28_MAG28_20_16,MAG28_MAG28_249_2,MAG28_MAG28_251_2,MAG28_MAG28_27_16,MAG28_MAG28_29_6,MAG28_MAG28_32_6,MAG28_MAG28_52_15,MAG28_MAG28_91_7,MAG28_MAG28_9_6
47	MAG28	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	4	4	1.0	4	K00939,K00940,K01756,K01939	MAG28_MAG28_1_21,MAG28_MAG28_203_3,MAG28_MAG28_20_16,MAG28_MAG28_60_1
48	MAG28	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	4	4	1.0	4	K00088,K00940,K00942,K01951	MAG28_MAG28_162_6,MAG28_MAG28_27_7,MAG28_MAG28_60_1,MAG28_MAG28_66_7
49	MAG28	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	3	3	1.0	5	K00609,K00762,K01591,K01955,K17828	MAG28_MAG28_113_7,MAG28_MAG28_167_3,MAG28_MAG28_21_10,MAG28_MAG28_246_2,MAG28_MAG28_26_12
50	MAG28	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	3	3	1.0	3	K00940,K00945,K01937	MAG28_MAG28_148_8,MAG28_MAG28_18_2,MAG28_MAG28_60_1
51	MAG28	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	8	5	0.625	4	K00525,K00560,K00940,K21636	MAG28_MAG28_12_11,MAG28_MAG28_160_8,MAG28_MAG28_34_3,MAG28_MAG28_60_1
52	MAG28	M00055	N-glycan precursor biosynthesis	13	0	0.0	0		
53	MAG28	M00056	O-glycan biosynthesis, mucin type core	4	0	0.0	0		
54	MAG28	M00057	Glycosaminoglycan biosynthesis, linkage tetrasaccharide	4	0	0.0	0		
55	MAG28	M00058	Glycosaminoglycan biosynthesis, chondroitin sulfate backbone	2	0	0.0	0		
56	MAG28	M00059	Glycosaminoglycan biosynthesis, heparan sulfate backbone	5	0	0.0	0		
57	MAG28	M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	9	5	0.5555555555555556	5	K00677,K00912,K02517,K02527,K02536	MAG28_MAG28_124_2,MAG28_MAG28_34_11,MAG28_MAG28_51_10,MAG28_MAG28_51_8,MAG28_MAG28_60_13,MAG28_MAG28_78_5
58	MAG28	M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	5	4	0.8	4	K00874,K01625,K01686,K01812	MAG28_MAG28_10_14,MAG28_MAG28_64_10,MAG28_MAG28_64_9,MAG28_MAG28_67_1,MAG28_MAG28_67_2
59	MAG28	M00063	CMP-KDO biosynthesis	4	2	0.5	2	K01627,K03270	MAG28_MAG28_202_2,MAG28_MAG28_35_9
60	MAG28	M00064	ADP-L-glycero-D-manno-heptose biosynthesis	5	0	0.0	0		
61	MAG28	M00065	GPI-anchor biosynthesis, core oligosaccharide	8	0	0.0	0		
62	MAG28	M00066	Lactosylceramide biosynthesis	2	0	0.0	0		
