	genome	module	module_name	steps	steps_present	step_coverage	ko_count	kos_present	genes_present
0	MAG14	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	9	9	1.0	10	K00134,K00845,K00850,K00873,K00927,K01624,K01689,K01803,K01810,K15633	MAG14_MAG14_10_17,MAG14_MAG14_12_4,MAG14_MAG14_14_31,MAG14_MAG14_28_28,MAG14_MAG14_3_4,MAG14_MAG14_47_6,MAG14_MAG14_4_43,MAG14_MAG14_4_7,MAG14_MAG14_4_8,MAG14_MAG14_58_9,MAG14_MAG14_66_1
1	MAG14	M00002	Glycolysis, core module involving three-carbon compounds	5	5	1.0	6	K00134,K00873,K00927,K01689,K01803,K15633	MAG14_MAG14_12_4,MAG14_MAG14_14_31,MAG14_MAG14_3_4,MAG14_MAG14_47_6,MAG14_MAG14_4_7,MAG14_MAG14_4_8,MAG14_MAG14_66_1
2	MAG14	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	7	7	1.0	7	K00134,K00927,K01610,K01624,K01689,K01803,K15633	MAG14_MAG14_14_31,MAG14_MAG14_28_28,MAG14_MAG14_3_4,MAG14_MAG14_47_6,MAG14_MAG14_4_7,MAG14_MAG14_4_8,MAG14_MAG14_66_1,MAG14_MAG14_8_36
3	MAG14	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	7	4	0.5714285714285714	4	K00615,K01783,K01808,K01810	MAG14_MAG14_10_17,MAG14_MAG14_34_18,MAG14_MAG14_73_11,MAG14_MAG14_82_7
4	MAG14	M00005	PRPP biosynthesis, ribose 5P => PRPP	1	1	1.0	1	K00948	MAG14_MAG14_15_23
5	MAG14	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	2	0	0.0	0		
6	MAG14	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	4	3	0.75	3	K00615,K01783,K01808	MAG14_MAG14_34_18,MAG14_MAG14_73_11,MAG14_MAG14_82_7
7	MAG14	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	4	0	0.0	0		
8	MAG14	M00009	Citrate cycle (TCA cycle, Krebs cycle)	8	3	0.375	9	K00174,K00175,K00176,K00177,K00239,K00240,K00241,K00382,K01676	MAG14_MAG14_26_7,MAG14_MAG14_29_3,MAG14_MAG14_29_4,MAG14_MAG14_32_13,MAG14_MAG14_41_18,MAG14_MAG14_41_19,MAG14_MAG14_4_34,MAG14_MAG14_7_41,MAG14_MAG14_7_42,MAG14_MAG14_7_43,MAG14_MAG14_7_44
9	MAG14	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	3	0	0.0	0		
10	MAG14	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	5	3	0.6	9	K00174,K00175,K00176,K00177,K00239,K00240,K00241,K00382,K01676	MAG14_MAG14_26_7,MAG14_MAG14_29_3,MAG14_MAG14_29_4,MAG14_MAG14_32_13,MAG14_MAG14_41_18,MAG14_MAG14_41_19,MAG14_MAG14_4_34,MAG14_MAG14_7_41,MAG14_MAG14_7_42,MAG14_MAG14_7_43,MAG14_MAG14_7_44
11	MAG14	M00012	Glyoxylate cycle	5	0	0.0	0		
12	MAG14	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	5	0	0.0	0		
13	MAG14	M00014	Glucuronate pathway (uronate pathway)	8	2	0.25	2	K00012,K01195	MAG14_MAG14_16_42,MAG14_MAG14_1_36,MAG14_MAG14_8_39
