genome	name1	name2	coverage_overlap	compared_bases_count	consensus_SNPs	population_SNPs	popANI	conANI	percent_compared
MAG02	SRS1992958.sorted.bam	SRS1992960.sorted.bam	0.7234079317555763	1343739	23688	8345	0.9937897166041917	0.9823715766231389	0.7115723932540002
MAG02	SRS1992958.sorted.bam	SRS1992964.sorted.bam	0.755108917480199	1380554	24851	16882	0.9877715757587171	0.9819992553713944	0.7310676506348205
MAG02	SRS1992958.sorted.bam	SRS1992968.sorted.bam	0.5970907421361685	1047596	17704	11716	0.9888162994131325	0.9831003554805479	0.5547508801064177
MAG02	SRS1992958.sorted.bam	SRS1992972.sorted.bam	0.7156992690163312	1319303	23655	11207	0.9915053630591305	0.9820700779123522	0.6986323929998178
MAG02	SRS1992958.sorted.bam	SRS1992980.sorted.bam	0.7172577282429815	1299159	25967	17504	0.9865266684062536	0.9800124542107626	0.6879652066714397
MAG02	SRS1992958.sorted.bam	SRS1992991.sorted.bam	0.8763133337396734	1630402	38381	25724	0.9842222960963002	0.9764591800059127	0.8633738048133666
MAG02	SRS1992958.sorted.bam	SRS1992995.sorted.bam	0.6692436101063787	1210583	22081	14704	0.9878537861509702	0.9817600280195575	0.6410600887096433
MAG02	SRS1992958.sorted.bam	SRS1993002.sorted.bam	0.8832392134394138	1650323	33461	12580	0.9923772497868599	0.9797245751286263	0.8739229022541739
MAG02	SRS1992958.sorted.bam	SRS1993062.sorted.bam	0.7145358860011385	1313946	21939	10830	0.9917576521409556	0.9833029667885895	0.6957956119652109
MAG02	SRS1992958.sorted.bam	SRS1993078.sorted.bam	0.6680157126183631	1206315	20166	8134	0.9932571509100028	0.9832829733527313	0.6387999839017839
MAG02	SRS1992958.sorted.bam	SRS1993092.sorted.bam	0.8971893986482372	1683525	30776	8895	0.994716443177262	0.9817193091875678	0.8915049078377131
MAG02	SRS1992958.sorted.bam	SRS1993116.sorted.bam	0.6608037751691946	1204976	19625	6899	0.9942745747633148	0.983713368565017	0.6380909210297775
MAG02	SRS1992958.sorted.bam	SRS1993122.sorted.bam	0.7943586406463871	1471999	21374	10081	0.993151489912697	0.9854796097008218	0.7794920377376076
MAG02	SRS1992958.sorted.bam	SRS1993132.sorted.bam	0.9222752173633316	1732001	37670	10962	0.993670904347053	0.9782505899246017	0.9171752078999877
MAG02	SRS1992960.sorted.bam	SRS1992964.sorted.bam	0.7035252645153139	1112558	21127	11669	0.9895115580491084	0.9810104282203714	0.5891512851036429
MAG02	SRS1992960.sorted.bam	SRS1992968.sorted.bam	0.5984091324558846	872420	15807	9005	0.9896781366772884	0.9818814332546251	0.461987028226951
MAG02	SRS1992960.sorted.bam	SRS1992972.sorted.bam	0.6756141269039586	1062648	19979	7508	0.9929346312231332	0.981198854183135	0.5627216152441633
MAG02	SRS1992960.sorted.bam	SRS1992980.sorted.bam	0.6949630315304806	1067760	20874	11888	0.988866411927774	0.9804506630703529	0.5654286573664166
