genome	Completeness	Completeness_General	Contamination	Completeness_Specific	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	Quality_score	Sample	Ambigious_bases	Length_contigs	Length_scaffolds	N50	N_contigs	N_scaffolds	logN50
SRS1992958_maxbin_4	100.0	97.87	0.01	100.0	Neural Network (Specific Model)	11	0.874	158184	326.4727323316639	4022978	0.48	3594	 Singleton species	99.95	SRS1992958	420	4022558	4022978	158184	124	82	11.971514191400663
SRS1992958_metabat_09	73.26	84.38	1.66	73.26	Neural Network (Specific Model)	11	0.881	6476	248.84475524475525	2413246	0.4	2860	 Singleton species	64.96000000000001	SRS1992958	14451	2399196	2413246	6476	1890	485	8.775858314797526
SRS1992960_maxbin_02	100.0	100.0	0.32	100.0	Neural Network (Specific Model)	11	0.883	119935	316.1855949424249	4749423	0.51	4429		98.4	SRS1992960	820	4748603	4749423	119935	193	111	11.69470520834313
SRS1992960_metabat_04	53.14	56.36	0.23	53.14	Neural Network (Specific Model)	11	0.866	119356	360.1966701352758	1197065	0.59	961		51.99	SRS1992960	20	1197045	1197065	119356	14	12	11.689865902811702
SRS1992960_metabat_10	99.94	100.0	0.11	99.94	Neural Network (Specific Model)	11	0.886	72397	322.9181353041501	1920943	0.38	1759		99.39	SRS1992960	185	1920773	1920943	72397	66	49	11.189920141051203
SRS1992962_metabat_01	96.24	96.24	0.24	99.59	Gradient Boost (General Model)	11	0.862	109662	334.07928880345986	2416070	0.37	2081	 Singleton species	95.03999999999999	SRS1992962	640	2415430	2416070	109662	106	42	11.605158186982496
SRS1992962_metabat_02	100.0	98.99	0.15	100.0	Neural Network (Specific Model)	11	0.879	48997	309.83282172373083	4469992	0.51	4235		99.25	SRS1992962	5700	4464292	4469992	48997	735	165	10.799514350728671
SRS1992962_metabat_03	61.68	73.13	0.47	61.68	Neural Network (Specific Model)	11	0.842	94343	365.11508771929823	1853213	0.47	1425	 Singleton species	59.33	SRS1992962	300	1852913	1853213	94343	62	32	11.454692356205449
SRS1992962_metabat_07	99.98	96.91	0.4	99.98	Neural Network (Specific Model)	11	0.91	48456	303.7897838899804	2544409	0.29	2545	 Singleton species	97.98	SRS1992962	3243	2541189	2544409	48456	431	109	10.788411448660783
SRS1992962_metabat_10	79.7	81.88	1.01	79.7	Neural Network (Specific Model)	11	0.885	52255	365.4554455445544	2125206	0.51	1717		74.65	SRS1992962	1110	2124096	2125206	52255	185	74	10.863890859028604
