genome	Completeness	Completeness_General	Contamination	Completeness_Specific	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	Quality_score	Sample	Ambigious_bases	Length_contigs	Length_scaffolds	N50	N_contigs	N_scaffolds	logN50
SRS1992958_vamb_2533	100.0	97.51	0.03	100.0	Neural Network (Specific Model)	11	0.883	169615	335.7392961876833	3886551	0.48	3410	 Singleton species	99.85	SRS1992958	310	3886241	3886551	169615	62	31	12.04128644182528
SRS1992958_vamb_2840	90.67	97.09	0.06	90.67	Neural Network (Specific Model)	11	0.885	79875	307.5984555984556	1888408	0.42	1813		90.37	SRS1992958	300	1888108	1888408	79875	67	37	11.288218191679835
SRS1992958_vamb_477	99.84	96.23	0.09	99.84	Neural Network (Specific Model)	11	0.88	181103	317.1269443050677	2151264	0.39	1993		99.39	SRS1992958	510	2150754	2151264	181103	67	16	12.106821209167762
SRS1992958_vamb_6	69.29	81.42	1.59	69.29	Neural Network (Specific Model)	11	0.885	7003	255.1353194544149	2400298	0.4	2786	 Singleton species	61.34	SRS1992958	13480	2387188	2400298	7003	1739	428	8.854093907655518
SRS1992960_vamb_1291	75.9	76.68	0.02	75.9	Neural Network (Specific Model)	11	0.892	46244	366.1322314049587	2383182	0.47	1936		75.80000000000001	SRS1992960	450	2382732	2383182	46244	124	79	10.741687004795212
SRS1992960_vamb_1410	86.85	90.05	0.04	86.85	Neural Network (Specific Model)	11	0.886	83461	322.15022860875246	1667740	0.38	1531		86.64999999999999	SRS1992960	70	1667670	1667740	83461	44	37	11.332134735861445
SRS1992960_vamb_1482	67.96	82.05	0.0	67.96	Neural Network (Specific Model)	11	0.891	129931	322.312567132116	3026280	0.51	2793		67.96	SRS1992960	310	3025970	3026280	129931	62	31	11.7747588192991
SRS1992960_vamb_1715	54.77	68.3	0.14	54.77	Neural Network (Specific Model)	11	0.884	18054	348.84255319148934	1390917	0.46	1175		54.07	SRS1992960	3820	1387097	1390917	18054	491	109	9.8011225458581
SRS1992960_vamb_226	81.37	78.46	1.03	81.37	Neural Network (Specific Model)	11	0.883	19403	350.5918565196316	2453579	0.46	2063		76.22	SRS1992960	10421	2443549	2453579	19403	1197	194	9.873182972271271
SRS1992960_vamb_2292	70.08	69.19	0.05	70.08	Neural Network (Specific Model)	11	0.879	24352	337.44229642647923	1964425	0.43	1707	 Singleton species	69.83	SRS1992960	1004	1963455	1964425	24352	215	118	10.100369260661411
SRS1992960_vamb_429	95.01	87.78	0.84	95.01	Neural Network (Specific Model)	11	0.883	108976	320.9756361667569	2011302	0.4	1847		90.81	SRS1992960	520	2010782	2011302	108976	71	19	11.5988829534811
SRS1992960_vamb_507	99.97	98.24	0.09	99.97	Neural Network (Specific Model)	11	0.871	186178	340.06374881065653	2459190	0.6	2102		99.52	SRS1992960	40	2459150	2459190	186178	27	23	12.134458484320376
SRS1992960_vamb_8	99.88	100.0	0.06	99.88	Neural Network (Specific Model)	11	0.898	79316	313.69818351187706	2246910	0.46	2147		99.58	SRS1992960	710	2246200	2246910	79316	119	48	11.281195152718697
SRS1992962_vamb_1479	67.26	86.53	0.01	67.26	Neural Network (Specific Model)	11	0.881	59963	317.96766917293235	2875858	0.51	2660		67.21000000000001	SRS1992962	4000	2871858	2875858	59963	460	60	11.00148298432048
SRS1992962_vamb_1583	58.37	59.45	0.02	58.37	Neural Network (Specific Model)	11	0.88	34817	366.63460253841015	1869245	0.46	1497	 Singleton species	58.269999999999996	SRS1992962	150	1869095	1869245	34817	87	72	10.457861052229603
