genome	SpeciesNr	Species	Representative
SRS1992958_maxbin_4	30	sp30	SRS1992958_maxbin_4
SRS1992958_metabat_09	31	sp31	SRS1992958_metabat_09
SRS1992960_maxbin_02	6	sp06	SRS1993166_metabat_2
SRS1992960_metabat_04	10	sp10	SRS1992978_maxbin_5
SRS1992960_metabat_10	12	sp12	SRS1992960_metabat_10
SRS1992962_metabat_01	32	sp32	SRS1992962_metabat_01
SRS1992962_metabat_02	6	sp06	SRS1993166_metabat_2
SRS1992962_metabat_03	33	sp33	SRS1992962_metabat_03
SRS1992962_metabat_07	34	sp34	SRS1992962_metabat_07
SRS1992962_metabat_10	18	sp18	SRS1993001_maxbin_21
SRS1992962_metabat_21	15	sp15	SRS1993134_maxbin_17
SRS1992962_metabat_22	35	sp35	SRS1992962_metabat_22
SRS1992962_metabat_24	3	sp03	SRS1993004_maxbin_04
SRS1992962_metabat_28	5	sp05	SRS1993116_metabat_07
SRS1992964_maxbin_15	6	sp06	SRS1993166_metabat_2
SRS1992964_metabat_07	17	sp17	SRS1992998_maxbin_09
SRS1992964_metabat_12	20	sp20	SRS1992964_metabat_12
SRS1992966_metabat_4	5	sp05	SRS1993116_metabat_07
SRS1992968_metabat_2	6	sp06	SRS1993166_metabat_2
SRS1992970_maxbin_1	6	sp06	SRS1993166_metabat_2
SRS1992972_maxbin_02	6	sp06	SRS1993166_metabat_2
SRS1992972_metabat_05	36	sp36	SRS1992972_metabat_05
SRS1992974_maxbin_1	7	sp07	SRS1992991_maxbin_2
SRS1992974_maxbin_6	6	sp06	SRS1993166_metabat_2
SRS1992976_maxbin_2	28	sp28	SRS1993058_maxbin_06
SRS1992976_metabat_5	5	sp05	SRS1993116_metabat_07
SRS1992978_maxbin_3	37	sp37	SRS1992978_maxbin_3
SRS1992978_maxbin_5	10	sp10	SRS1992978_maxbin_5
SRS1992980_maxbin_5	6	sp06	SRS1993166_metabat_2
SRS1992988_metabat_03	22	sp22	SRS1992988_metabat_03
SRS1992991_maxbin_2	7	sp07	SRS1992991_maxbin_2
SRS1992991_maxbin_6	6	sp06	SRS1993166_metabat_2
SRS1992994_maxbin_2	6	sp06	SRS1993166_metabat_2
SRS1992995_maxbin_03	16	sp16	SRS1993004_metabat_01
SRS1992995_metabat_01	19	sp19	SRS1993006_metabat_02
SRS1992995_metabat_02	38	sp38	SRS1992995_metabat_02
SRS1992995_metabat_07	6	sp06	SRS1993166_metabat_2
SRS1992995_metabat_09	23	sp23	SRS1992995_metabat_09
SRS1992995_metabat_10	11	sp11	SRS1992995_metabat_10
SRS1992995_metabat_12	2	sp02	SRS1993134_metabat_02
SRS1992998_maxbin_04_sub	10	sp10	SRS1992978_maxbin_5
SRS1992998_maxbin_09	17	sp17	SRS1992998_maxbin_09
SRS1992998_maxbin_11	39	sp39	SRS1992998_maxbin_11
SRS1992998_metabat_02	3	sp03	SRS1993004_maxbin_04
SRS1992998_metabat_13	40	sp40	SRS1992998_metabat_13
SRS1992999_maxbin_02	8	sp08	SRS1993108_maxbin_09
SRS1992999_maxbin_08	41	sp41	SRS1992999_maxbin_08
SRS1992999_metabat_05	7	sp07	SRS1992991_maxbin_2
SRS1992999_metabat_07	42	sp42	SRS1992999_metabat_07
SRS1992999_metabat_10	2	sp02	SRS1993134_metabat_02
SRS1992999_metabat_16	11	sp11	SRS1992995_metabat_10
SRS1992999_metabat_22	10	sp10	SRS1992978_maxbin_5
SRS1993000_maxbin_14	43	sp43	SRS1993000_maxbin_14
SRS1993000_metabat_05	44	sp44	SRS1993000_metabat_05
SRS1993000_metabat_12	45	sp45	SRS1993000_metabat_12
SRS1993000_metabat_16_sub	3	sp03	SRS1993004_maxbin_04
SRS1993000_metabat_17_sub	10	sp10	SRS1992978_maxbin_5
SRS1993001_maxbin_21	18	sp18	SRS1993001_maxbin_21
SRS1993001_metabat_01	16	sp16	SRS1993004_metabat_01
SRS1993001_metabat_08	21	sp21	SRS1993004_maxbin_07
SRS1993001_metabat_20	7	sp07	SRS1992991_maxbin_2
SRS1993001_metabat_21	2	sp02	SRS1993134_metabat_02
SRS1993001_metabat_23	9	sp09	SRS1993004_maxbin_12
SRS1993001_metabat_25	14	sp14	SRS1993001_metabat_25
SRS1993001_metabat_26	15	sp15	SRS1993134_maxbin_17
SRS1993001_metabat_27	11	sp11	SRS1992995_metabat_10
SRS1993002_maxbin_10	5	sp05	SRS1993116_metabat_07
SRS1993002_maxbin_16	27	sp27	SRS1993116_metabat_08
SRS1993002_maxbin_17	8	sp08	SRS1993108_maxbin_09
SRS1993002_metabat_01	46	sp46	SRS1993002_metabat_01
SRS1993002_metabat_02	2	sp02	SRS1993134_metabat_02
SRS1993002_metabat_09	6	sp06	SRS1993166_metabat_2
SRS1993002_metabat_12	10	sp10	SRS1992978_maxbin_5
SRS1993002_metabat_15	29	sp29	SRS1993066_metabat_12
SRS1993002_metabat_16	7	sp07	SRS1992991_maxbin_2
SRS1993002_metabat_18	47	sp47	SRS1993002_metabat_18
SRS1993003_maxbin_01	6	sp06	SRS1993166_metabat_2
SRS1993003_maxbin_04	48	sp48	SRS1993003_maxbin_04
SRS1993003_metabat_14	24	sp24	SRS1993134_metabat_09_sub
SRS1993004_maxbin_04	3	sp03	SRS1993004_maxbin_04
SRS1993004_maxbin_07	21	sp21	SRS1993004_maxbin_07
SRS1993004_maxbin_11	7	sp07	SRS1992991_maxbin_2
SRS1993004_maxbin_12	9	sp09	SRS1993004_maxbin_12
