genome	Completeness	Completeness_General	Contamination	Completeness_Specific	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	Quality_score	Sample	Ambigious_bases	Length_contigs	Length_scaffolds	N50	N_contigs	N_scaffolds	logN50
SRS1992958_SemiBin_02	71.89	82.06	1.87	71.89	Neural Network (Specific Model)	11	0.877	6725	250.8482603092784	2652873	0.4	3104	 Singleton species	62.54	SRS1992958	14942	2638343	2652873	6725	1935	482	8.81358720447004
SRS1992958_SemiBin_03	100.0	98.58	0.02	100.0	Neural Network (Specific Model)	11	0.877	158184	328.42987299834346	4065091	0.47	3622	 Singleton species	99.9	SRS1992958	410	4064681	4065091	158184	103	62	11.971514191400663
SRS1992958_SemiBin_04	99.59	99.75	0.03	99.59	Neural Network (Specific Model)	11	0.882	72464	308.5730100158144	1988047	0.42	1897		99.44	SRS1992958	400	1987647	1988047	72464	89	49	11.190845165795997
SRS1992958_SemiBin_11	63.75	63.57	0.19	63.75	Neural Network (Specific Model)	11	0.876	181103	301.31340872374795	1275971	0.4	1238		62.8	SRS1992958	410	1275561	1275971	181103	48	7	12.106821209167762
SRS1992960_SemiBin_01	92.83	95.24	0.45	92.83	Neural Network (Specific Model)	11	0.886	72397	330.68910439247	1959324	0.38	1753		90.58	SRS1992960	195	1959144	1959324	72397	75	57	11.189920141051203
SRS1992960_SemiBin_03	100.0	100.0	0.72	100.0	Neural Network (Specific Model)	11	0.879	101597	318.78752535496955	2142344	0.4	1972		96.4	SRS1992960	520	2141824	2142344	101597	74	22	11.528769286131515
SRS1992960_SemiBin_05	99.99	98.53	0.12	99.99	Neural Network (Specific Model)	11	0.872	186178	341.664014974263	2507282	0.6	2137		99.39	SRS1992960	40	2507242	2507282	186178	29	25	12.134458484320376
SRS1992960_SemiBin_12	99.91	100.0	0.04	99.91	Neural Network (Specific Model)	11	0.898	79316	309.9618149146451	2301786	0.46	2226		99.71	SRS1992960	710	2301076	2301786	79316	125	54	11.281195152718697
SRS1992960_SemiBin_15	88.55	86.76	0.75	88.55	Neural Network (Specific Model)	11	0.883	33099	347.3759608665269	3375375	0.46	2862		84.8	SRS1992960	1070	3374305	3375375	33099	302	195	10.407258349428416
SRS1992960_SemiBin_19	100.0	100.0	0.35	100.0	Neural Network (Specific Model)	11	0.883	119935	313.69598163031	4635138	0.51	4355		98.25	SRS1992960	831	4634308	4635138	119935	181	98	11.69470520834313
