genome	SpeciesNr	Species	Representative
SRS1992958_vamb_2533	49	sp49	SRS1992958_vamb_2533
SRS1992958_vamb_2840	9	sp09	SRS1992958_vamb_2840
SRS1992958_vamb_477	4	sp04	SRS1992958_vamb_477
SRS1992958_vamb_6	50	sp50	SRS1992958_vamb_6
SRS1992960_vamb_1291	32	sp32	SRS1993000_vamb_1021
SRS1992960_vamb_1410	27	sp27	SRS1993132_vamb_4798
SRS1992960_vamb_1482	2	sp02	SRS1993108_vamb_3038
SRS1992960_vamb_1715	13	sp13	SRS1992999_vamb_2008
SRS1992960_vamb_226	41	sp41	SRS1992960_vamb_226
SRS1992960_vamb_2292	51	sp51	SRS1992960_vamb_2292
SRS1992960_vamb_429	4	sp04	SRS1992958_vamb_477
SRS1992960_vamb_507	30	sp30	SRS1992960_vamb_507
SRS1992960_vamb_8	38	sp38	SRS1992995_vamb_8
SRS1992962_vamb_1479	2	sp02	SRS1993108_vamb_3038
SRS1992962_vamb_1583	52	sp52	SRS1992962_vamb_1583
SRS1992962_vamb_210	31	sp31	SRS1992995_vamb_640
SRS1992962_vamb_224	53	sp53	SRS1992962_vamb_224
SRS1992962_vamb_4401	54	sp54	SRS1992962_vamb_4401
SRS1992962_vamb_930	55	sp55	SRS1992962_vamb_930
SRS1992964_vamb_1277	10	sp10	SRS1992978_vamb_1277
SRS1992964_vamb_1448	4	sp04	SRS1992958_vamb_477
SRS1992964_vamb_1482	2	sp02	SRS1993108_vamb_3038
SRS1992964_vamb_1552	30	sp30	SRS1992960_vamb_507
SRS1992964_vamb_2020	9	sp09	SRS1992958_vamb_2840
SRS1992964_vamb_233	41	sp41	SRS1992960_vamb_226
SRS1992964_vamb_31	56	sp56	SRS1992964_vamb_31
SRS1992964_vamb_509	20	sp20	SRS1993004_vamb_186
SRS1992966_vamb_1287	30	sp30	SRS1992960_vamb_507
SRS1992966_vamb_2133	2	sp02	SRS1993108_vamb_3038
SRS1992968_vamb_126	18	sp18	SRS1993000_vamb_126
SRS1992968_vamb_1576	2	sp02	SRS1993108_vamb_3038
SRS1992968_vamb_187	57	sp57	SRS1992968_vamb_187
SRS1992968_vamb_602	9	sp09	SRS1992958_vamb_2840
SRS1992970_vamb_1296	4	sp04	SRS1992958_vamb_477
SRS1992970_vamb_1514	29	sp29	SRS1993058_vamb_521
SRS1992970_vamb_1932	8	sp08	SRS1992988_vamb_1045
SRS1992970_vamb_2217	2	sp02	SRS1993108_vamb_3038
SRS1992972_vamb_1296	4	sp04	SRS1992958_vamb_477
SRS1992972_vamb_1351	2	sp02	SRS1993108_vamb_3038
SRS1992972_vamb_1665	29	sp29	SRS1993058_vamb_521
SRS1992972_vamb_1946	30	sp30	SRS1992960_vamb_507
SRS1992972_vamb_2712	45	sp45	SRS1992972_vamb_2712
SRS1992972_vamb_641	3	sp03	SRS1993062_vamb_641
SRS1992972_vamb_661	6	sp06	SRS1992988_vamb_603
SRS1992974_vamb_216	40	sp40	SRS1992974_vamb_216
SRS1992974_vamb_2580	2	sp02	SRS1993108_vamb_3038
SRS1992974_vamb_402	43	sp43	SRS1993058_vamb_132
SRS1992974_vamb_699	15	sp15	SRS1992999_vamb_699
SRS1992976_vamb_1329	2	sp02	SRS1993108_vamb_3038
SRS1992976_vamb_365	29	sp29	SRS1993058_vamb_521
SRS1992978_vamb_1277	10	sp10	SRS1992978_vamb_1277
SRS1992978_vamb_1401	30	sp30	SRS1992960_vamb_507
SRS1992978_vamb_1743	29	sp29	SRS1993058_vamb_521
SRS1992980_vamb_1348	2	sp02	SRS1993108_vamb_3038
SRS1992980_vamb_1630	45	sp45	SRS1992972_vamb_2712
SRS1992980_vamb_2338	4	sp04	SRS1992958_vamb_477
SRS1992980_vamb_281	58	sp58	SRS1992980_vamb_281
SRS1992980_vamb_602	9	sp09	SRS1992958_vamb_2840
SRS1992988_vamb_1045	8	sp08	SRS1992988_vamb_1045
SRS1992988_vamb_1329	2	sp02	SRS1993108_vamb_3038
SRS1992988_vamb_1442	27	sp27	SRS1993132_vamb_4798
SRS1992988_vamb_2039	29	sp29	SRS1993058_vamb_521
SRS1992988_vamb_411	16	sp16	SRS1992988_vamb_411
SRS1992988_vamb_603	6	sp06	SRS1992988_vamb_603
SRS1992988_vamb_733	26	sp26	SRS1992988_vamb_733
SRS1992990_vamb_2456	30	sp30	SRS1992960_vamb_507
SRS1992991_vamb_1277	10	sp10	SRS1992978_vamb_1277
SRS1992991_vamb_1348	2	sp02	SRS1993108_vamb_3038
SRS1992991_vamb_1403	4	sp04	SRS1992958_vamb_477
SRS1992991_vamb_602	9	sp09	SRS1992958_vamb_2840
SRS1992991_vamb_699	15	sp15	SRS1992999_vamb_699
SRS1992992_vamb_1277	10	sp10	SRS1992978_vamb_1277
SRS1992992_vamb_1294	29	sp29	SRS1993058_vamb_521
SRS1992992_vamb_1488	4	sp04	SRS1992958_vamb_477
SRS1992993_vamb_3060	2	sp02	SRS1993108_vamb_3038
SRS1992993_vamb_7866	4	sp04	SRS1992958_vamb_477
SRS1992994_vamb_1022	2	sp02	SRS1993108_vamb_3038
SRS1992995_vamb_1198	44	sp44	SRS1992995_vamb_1198
SRS1992995_vamb_134	59	sp59	SRS1992995_vamb_134
SRS1992995_vamb_1482	2	sp02	SRS1993108_vamb_3038
SRS1992995_vamb_1499	17	sp17	SRS1993003_vamb_1521
SRS1992995_vamb_1517	60	sp60	SRS1992995_vamb_1517
SRS1992995_vamb_1666	42	sp42	SRS1993002_vamb_1284
SRS1992995_vamb_188	34	sp34	SRS1993004_vamb_683
SRS1992995_vamb_196	39	sp39	SRS1993001_vamb_200
SRS1992995_vamb_497	7	sp07	SRS1993002_vamb_903
SRS1992995_vamb_516	9	sp09	SRS1992958_vamb_2840
SRS1992995_vamb_604	61	sp61	SRS1992995_vamb_604
SRS1992995_vamb_607	25	sp25	SRS1993002_vamb_109
