#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
ERR675519_0	132.3250	425109	0.5585	100.0000	425109	343604	343604	0.5548	133	32.88
ERR675519_1	34.2414	359037	0.5860	99.9816	358971	75706	75706	0.5786	34	10.43
ERR675519_2	153.2846	351149	0.5593	100.0000	351149	328834	328834	0.5552	155	37.79
ERR675519_3	40.9760	324272	0.4279	100.0000	324272	79485	79485	0.4308	40	12.01
ERR675519_4	36.3016	309677	0.5882	99.9758	309602	69203	69203	0.5776	36	12.02
ERR675519_5	33.8244	253768	0.5694	99.9866	253734	52548	52548	0.5638	34	9.83
ERR675519_6	120.6443	251300	0.5564	99.9765	251241	184963	184963	0.5512	120	32.86
ERR675519_7	52.6560	209441	0.5384	99.9031	209238	67148	67148	0.5333	53	15.03
ERR675519_8	38.8331	206774	0.4280	100.0000	206774	47995	47995	0.4327	39	10.93
ERR675519_9	48.8030	205175	0.5112	100.0000	205175	60730	60730	0.5051	48	14.17
ERR675519_10	33.3343	204661	0.5825	99.9985	204658	41996	41996	0.5747	33	10.08
ERR675519_11	13.1464	178936	0.4275	100.0000	178936	14065	14065	0.4313	13	4.65
ERR675519_12	132.3468	178783	0.5582	100.0000	178783	144514	144514	0.5546	132	35.03
ERR675519_13	38.0586	176515	0.4298	100.0000	176515	40222	40222	0.4364	38	11.45
ERR675519_14	40.1605	172429	0.5802	99.9809	172396	42532	42532	0.5641	40	14.10
ERR675519_15	21.4208	170001	0.4869	99.9988	169999	21988	21988	0.4894	21	7.39
ERR675519_16	51.2752	162980	0.4893	99.9988	162978	50049	50049	0.4891	49	19.32
ERR675519_17	51.6795	161895	0.5152	99.9333	161787	50714	50714	0.5121	51	14.15
ERR675519_18	39.2018	160028	0.3447	99.9938	160018	37151	37151	0.3556	39	13.52
ERR675519_19	166.4303	156895	0.5505	100.0000	156895	159153	159153	0.5447	167	42.43
ERR675519_20	43.8891	156197	0.5240	100.0000	156197	41568	41568	0.5193	44	12.79
ERR675519_21	52.3835	154319	0.5300	100.0000	154319	49199	49199	0.5270	52	14.73
ERR675519_22	45.2050	151209	0.4231	100.0000	151209	40915	40915	0.4281	45	12.10
ERR675519_23	53.9813	148053	0.4910	100.0000	148053	48249	48249	0.4924	52	19.07
ERR675519_24	37.6162	140758	0.4262	100.0000	140758	31585	31585	0.4277	37	9.51
ERR675519_25	154.7425	139185	0.5415	100.0000	139185	130839	130839	0.5354	154	39.00
ERR675519_26	35.9040	139123	0.5907	99.9856	139103	30832	30832	0.5818	36	12.82
ERR675519_27	147.9898	138677	0.5763	100.0000	138677	125872	125872	0.5706	149	40.91
ERR675519_28	47.4522	137614	0.5213	99.9273	137514	39614	39614	0.5161	47	12.88
ERR675519_29	41.6594	137582	0.5562	99.9520	137516	35075	35075	0.5516	41	12.72
ERR675519_30	39.8877	133716	0.5210	100.0000	133716	32238	32238	0.5171	40	10.61
ERR675519_31	44.0533	132468	0.4364	100.0000	132468	34940	34940	0.4401	44	11.34
ERR675519_32	76.3420	132353	0.4582	100.0000	132353	60651	60651	0.4588	77	17.96
ERR675519_33	124.4905	131085	0.5545	100.0000	131085	99474	99474	0.5488	126	30.56
ERR675519_34	166.8759	126828	0.5436	100.0000	126828	129074	129074	0.5400	168	41.80
ERR675519_35	53.5310	126527	0.5053	99.9494	126463	41024	41024	0.5040	53	15.44
ERR675519_36	46.0391	125429	0.5137	100.0000	125429	35031	35031	0.5056	45	16.53
ERR675519_37	159.7057	124588	0.5431	99.9727	124554	121264	121264	0.5435	163	41.63
ERR675519_38	52.9541	124457	0.4350	100.0000	124457	39490	39490	0.4366	53	13.27
ERR675519_39	46.5153	123850	0.4935	100.0000	123850	34692	34692	0.4929	47	10.51
ERR675519_40	11.4291	122402	0.4145	99.8979	122277	8342	8342	0.4207	11	4.68
ERR675519_41	12.1045	122155	0.4200	99.9312	122071	8827	8827	0.4270	12	4.38
ERR675519_42	57.4992	120427	0.5087	100.0000	120427	41968	41968	0.5064	57	17.34
ERR675519_43	23.3667	119140	0.4945	100.0000	119140	16819	16819	0.4971	23	7.68
ERR675519_44	43.9110	118322	0.5036	100.0000	118322	31462	31462	0.5041	44	12.38
ERR675519_45	37.1388	116760	0.3896	100.0000	116760	25749	25749	0.3992	38	11.97
ERR675519_46	47.4479	113548	0.5001	100.0000	113548	32497	32497	0.5002	48	10.95
ERR675519_47	14.2154	112114	0.4245	99.9554	112064	9544	9544	0.4308	14	5.07
ERR675519_48	46.0451	111857	0.4075	99.9490	111800	30751	30751	0.4195	47	15.62
ERR675519_49	73.5270	109908	0.4464	100.0000	109908	48479	48479	0.4465	71	22.72
ERR675519_50	35.0094	108503	0.3450	99.9733	108474	22496	22496	0.3546	35	11.47
ERR675519_51	39.5468	106102	0.5986	99.9859	106087	25932	25932	0.5872	37	21.65
ERR675519_52	43.7651	105860	0.4319	100.0000	105860	27748	27748	0.4354	43	11.71
ERR675519_53	52.6754	101792	0.5260	99.8055	101594	32434	32434	0.5240	52	14.84
ERR675519_54	22.7454	101478	0.4670	100.0000	101478	13883	13883	0.4719	22	7.32
ERR675519_55	57.5096	100659	0.3487	99.9682	100627	34286	34286	0.3553	58	16.41
ERR675519_56	9.8252	98912	0.4999	99.9029	98816	5885	5885	0.4990	10	3.60
ERR675519_57	11.5610	98623	0.4411	99.9838	98607	6828	6828	0.4431	11	4.20
ERR675519_58	113.0278	97870	0.5742	100.0000	97870	67782	67782	0.5707	114	30.29
ERR675519_59	40.3168	97533	0.3873	99.9426	97477	23379	23379	0.4039	32	61.19
ERR675519_60	35.2820	96959	0.5961	99.9061	96868	21109	21109	0.5845	35	11.90
ERR675519_61	75.8837	96836	0.4562	100.0000	96836	44212	44212	0.4581	76	19.31
ERR675519_62	43.5064	96105	0.4550	99.9677	96074	25081	25081	0.4570	43	11.34
ERR675519_63	47.8819	95765	0.4981	100.0000	95765	27624	27624	0.4980	48	10.86
ERR675519_64	72.3586	95437	0.4608	100.0000	95437	41556	41556	0.4615	72	20.06
ERR675519_65	20.9011	93932	0.4785	99.9808	93914	11804	11804	0.4828	21	6.82
ERR675519_66	12.7324	91997	0.4365	99.9739	91973	7000	7000	0.4434	12	4.89
ERR675519_67	57.5558	91252	0.4309	100.0000	91252	31326	31326	0.4328	58	13.71
ERR675519_68	55.3011	91174	0.3457	99.8925	91076	29930	29930	0.3614	53	35.37
ERR675519_69	46.5249	91064	0.5084	100.0000	91064	25523	25523	0.5081	47	10.63
ERR675519_70	37.1212	90816	0.5937	99.9890	90806	20796	20796	0.5819	37	12.89
ERR675519_71	56.9294	89937	0.3458	100.0000	89937	30329	30329	0.3547	56	17.41
ERR675519_72	91.4076	88963	0.4526	99.9865	88951	48889	48889	0.4557	92	22.05
ERR675519_73	12.7166	88059	0.4378	99.8921	87964	6690	6690	0.4409	12	4.22
ERR675519_74	43.8548	87045	0.4219	99.9655	87015	22801	22801	0.4249	43	12.60
ERR675519_75	20.3613	86867	0.4944	99.9586	86831	10698	10698	0.4960	19	22.94
ERR675519_76	154.3370	86805	0.5456	99.8860	86706	81666	81666	0.5432	156	38.22
ERR675519_77	44.2028	86344	0.5223	99.9676	86316	23208	23208	0.5190	44	13.13
ERR675519_78	12.3775	85827	0.4100	100.0000	85827	6332	6332	0.4176	12	4.56
ERR675519_79	91.8561	85660	0.4555	99.9463	85614	47270	47270	0.4593	92	24.43
ERR675519_80	85.1968	85550	0.4585	100.0000	85550	43876	43876	0.4604	85	20.24
ERR675519_81	125.9887	84692	0.5659	100.0000	84692	65450	65450	0.5616	127	29.87
ERR675519_82	9.7271	83315	0.4686	99.6975	83063	4879	4879	0.4715	10	3.72
