File	Length_scaffolds	N_scaffolds	N50	Length_contigs	N_contigs	Ambigious_bases
SRS1992958_vamb_615	2107846	15	181103	2107336	66	510
SRS1992958_vamb_370	3905880	31	169615	3905570	62	310
SRS1992958_vamb_1046	252458	56	4320	250528	249	1985
SRS1992958_vamb_664	6835804	333	33906	6833904	523	1900
SRS1992958_vamb_2394	1779772	34	79875	1779472	64	300
SRS1992958_vamb_20	325597	110	3075	320877	582	4928
SRS1992958_vamb_18	2549210	454	7100	2535640	1811	13958
