	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_hits	vogdb_id	vogdb_categories	vogdb_hit	heme_regulatory_motif_count
MAG28_MAG28_1_1	MAG28	MAG28_1	1	41	1417	-1	C	K03650	tRNA modification GTPase [EC:3.6.-.-]								MnmE helical domain [PF12631.8]; GTP-binding protein TrmE N-terminus [PF10396.10]; 50S ribosome-binding GTPase [PF01926.24]; Ferrous iron transport protein B [PF02421.19]; ADP-ribosylation factor family [PF00025.22]; Ras family [PF00071.23]					0
MAG28_MAG28_1_2	MAG28	MAG28_1	2	1422	2291	-1	C	K01173	endonuclease G, mitochondrial								DNA/RNA non-specific endonuclease [PF01223.24]					0
MAG28_MAG28_1_3	MAG28	MAG28_1	3	2284	3408	-1	D			MER0501945	U32	MER0501945 - family U32 unassigned peptidases (Chthonomonas calidirosea) [U32.UPW]#U32#{peptidase unit: 148-232}~source YP_008089209~	False	0.411	60.0	4.938e-08						0
MAG28_MAG28_1_4	MAG28	MAG28_1	4	3392	4690	-1	C	K00833	adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]								Aminotransferase class-III [PF00202.22]		sp|Q8PX16|ARGD_METMA	Xh	sp|Q8PX16|ARGD_METMA Acetylornithine aminotransferase; Xh	0
MAG28_MAG28_1_5	MAG28	MAG28_1	5	4733	6085	1	E															0
MAG28_MAG28_1_6	MAG28	MAG28_1	6	6147	6953	-1	D										Domain of unknown function (DUF4377) [PF14302.7]					0
MAG28_MAG28_1_7	MAG28	MAG28_1	7	6971	7093	-1	E															0
MAG28_MAG28_1_8	MAG28	MAG28_1	8	7305	9320	-1	C	K03798	cell division protease FtsH [EC:3.4.24.-]	MER0877713	M41	MER0877713 - family M41 unassigned peptidases (Bacteroides sp. CAG:927) [M41.UPW]#M41#{peptidase unit: 394-621}~source R5B5H9~	True	0.807	378.0	9.211e-111	Peptidase family M41 [PF01434.19]; ATPase family associated with various cellular activities (AAA) [PF00004.30]; AAA+ lid domain [PF17862.2]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.13]; AAA domain (dynein-related subfamily) [PF07728.15]; TIP49 P-loop domain [PF06068.14]		sp|P49541|YCF46_TRICV	Xh	sp|P49541|YCF46_TRICV Uncharacterized AAA domain-containing protein ycf46; Xh	0
MAG28_MAG28_1_9	MAG28	MAG28_1	9	9351	9710	-1	C	K09710	ribosome-associated protein								Ribosomal silencing factor during starvation [PF02410.16]					0
MAG28_MAG28_1_10	MAG28	MAG28_1	10	9808	11022	-1	C	K09808	lipoprotein-releasing system permease protein													0
MAG28_MAG28_1_11	MAG28	MAG28_1	11	11019	12275	-1	D										GDSL-like Lipase/Acylhydrolase family [PF13472.7]					0
MAG28_MAG28_1_12	MAG28	MAG28_1	12	12268	13704	-1	D										GDSL-like Lipase/Acylhydrolase family [PF13472.7]					0
MAG28_MAG28_1_13	MAG28	MAG28_1	13	13705	14652	-1	D										chorismate binding enzyme [PF00425.19]					0
MAG28_MAG28_1_14	MAG28	MAG28_1	14	14633	15949	-1	C	K14441	ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]								Uncharacterized protein family UPF0004 [PF00919.21]; TRAM domain [PF18693.2]; Radical SAM superfamily [PF04055.22]					0
MAG28_MAG28_1_15	MAG28	MAG28_1	15	15955	16917	-1	C	K03110	fused signal recognition particle receptor								SRP54-type protein, GTPase domain [PF00448.23]; SRP54-type protein, helical bundle domain [PF02881.20]					0
MAG28_MAG28_1_16	MAG28	MAG28_1	16	17041	17235	1	E															0
MAG28_MAG28_1_17	MAG28	MAG28_1	17	17296	18042	-1	C	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]								Enoyl-(Acyl carrier protein) reductase [PF13561.7]; short chain dehydrogenase [PF00106.26]; KR domain [PF08659.11]		sp|P37079|SORD_KLEPN	Xh	sp|P37079|SORD_KLEPN Sorbitol-6-phosphate 2-dehydrogenase; Xh	0
MAG28_MAG28_1_18	MAG28	MAG28_1	18	18188	18562	1	C	K06199	fluoride exporter								CrcB-like protein, Camphor Resistance (CrcB) [PF02537.16]					0
