Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
ERR675519_maxbin_01_sub	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
ERR675519_maxbin_02	k__Bacteria (UID2372)	131	177	106	3	169	5	0	0	0	97.17	2.29	0.00
ERR675519_maxbin_03_sub	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
ERR675519_maxbin_04	o__Lactobacillales (UID355)	490	336	184	4	332	0	0	0	0	97.83	0.00	0.00
ERR675519_maxbin_05_sub	k__Bacteria (UID203)	5449	103	57	94	9	0	0	0	0	13.51	0.00	0.00
ERR675519_maxbin_06	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
ERR675519_maxbin_07_sub	f__Lachnospiraceae (UID1255)	90	354	174	76	161	92	24	1	0	77.65	38.61	32.94
ERR675519_maxbin_08	g__Lactobacillus (UID380)	58	449	129	4	436	9	0	0	0	98.19	2.29	0.00
ERR675519_maxbin_11_sub	k__Bacteria (UID203)	5449	103	57	102	1	0	0	0	0	1.75	0.00	0.00
ERR675519_maxbin_12_sub	p__Bacteroidetes (UID2605)	350	316	210	12	303	1	0	0	0	95.00	0.48	0.00
ERR675519_maxbin_13_sub	o__Clostridiales (UID1212)	172	257	149	185	60	10	2	0	0	20.28	4.24	18.75
ERR675519_maxbin_14_sub	p__Bacteroidetes (UID2605)	350	314	208	153	118	39	4	0	0	40.61	11.71	15.69
ERR675519_maxbin_15_sub	k__Bacteria (UID203)	5449	103	57	101	2	0	0	0	0	1.75	0.00	0.00
ERR675519_maxbin_16_sub	k__Bacteria (UID203)	5449	103	57	70	32	1	0	0	0	43.32	0.88	0.00
ERR675519_maxbin_17_sub	k__Bacteria (UID203)	5449	103	57	84	18	1	0	0	0	24.72	1.75	100.00
ERR675519_maxbin_18_sub	p__Bacteroidetes (UID2605)	350	316	210	252	63	1	0	0	0	8.79	0.03	0.00
ERR675519_maxbin_19_sub	o__Clostridiales (UID1212)	172	263	149	228	26	9	0	0	0	1.92	0.19	11.11
ERR675519_maxbin_20_sub	k__Bacteria (UID203)	5449	104	58	67	25	11	1	0	0	54.62	18.97	7.14
ERR675519_maxbin_21_sub	o__Clostridiales (UID1226)	155	278	158	209	59	6	2	2	0	19.71	6.58	0.00
ERR675519_maxbin_24_sub	k__Bacteria (UID203)	5449	103	57	85	18	0	0	0	0	11.08	0.00	0.00
ERR675519_maxbin_25_sub	k__Bacteria (UID3187)	2258	186	116	155	31	0	0	0	0	9.15	0.00	0.00
ERR675519_metabat_02	p__Actinobacteria (UID2112)	31	211	124	1	210	0	0	0	0	99.19	0.00	0.00
ERR675519_metabat_03	o__Bacteroidales (UID2657)	160	492	269	2	487	2	1	0	0	99.26	1.12	0.00
ERR675519_metabat_04	f__Lachnospiraceae (UID1255)	90	354	174	18	333	3	0	0	0	95.98	1.26	0.00
ERR675519_metabat_05	k__Bacteria (UID2569)	434	278	186	2	276	0	0	0	0	98.92	0.00	0.00
ERR675519_metabat_06	o__Clostridiales (UID1226)	155	278	158	8	267	3	0	0	0	94.94	1.27	0.00
ERR675519_metabat_09_sub	f__Lachnospiraceae (UID1255)	90	354	174	23	330	1	0	0	0	94.88	0.57	0.00
ERR675519_metabat_10	c__Deltaproteobacteria (UID3218)	61	284	169	8	274	2	0	0	0	96.68	1.18	0.00
ERR675519_metabat_11	o__Bacteroidales (UID2617)	213	406	265	34	371	1	0	0	0	95.45	0.38	0.00
ERR675519_metabat_12_sub	k__Bacteria (UID203)	5449	103	57	96	7	0	0	0	0	7.02	0.00	0.00
ERR675519_metabat_16_sub	k__Bacteria (UID203)	5449	103	57	94	9	0	0	0	0	6.41	0.00	0.00
ERR675519_metabat_17	f__Lachnospiraceae (UID1255)	90	354	174	45	300	9	0	0	0	87.26	0.87	55.56
ERR675519_metabat_18_sub	o__Clostridiales (UID1212)	172	257	149	166	79	12	0	0	0	37.80	5.87	0.00
ERR675519_metabat_20	o__Clostridiales (UID1212)	172	263	149	14	247	2	0	0	0	91.78	0.56	0.00
ERR675519_metabat_21_sub	k__Bacteria (UID203)	5449	104	58	98	6	0	0	0	0	9.48	0.00	0.00
ERR675519_metabat_23_sub	k__Bacteria (UID203)	5449	103	57	101	2	0	0	0	0	2.11	0.00	0.00
ERR675519_metabat_24_sub	f__Lachnospiraceae (UID1255)	90	354	174	41	300	13	0	0	0	87.51	3.36	30.77
ERR675519_metabat_25_sub	f__Lachnospiraceae (UID1255)	90	354	174	86	252	16	0	0	0	73.56	4.79	6.25
ERR675519_metabat_29_sub	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
ERR675519_metabat_30_sub	k__Bacteria (UID2372)	131	177	106	25	142	8	2	0	0	82.08	9.75	0.00
ERR675519_metabat_31	o__Clostridiales (UID1212)	172	263	149	71	192	0	0	0	0	70.33	0.00	0.00
ERR675519_metabat_32_sub	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0.00	0.00
ERR675519_metabat_33	o__Clostridiales (UID1120)	304	249	142	118	131	0	0	0	0	40.20	0.00	0.00
ERR675519_metabat_36_sub	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
ERR675519_metabat_37_sub	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
ERR675519_metabat_39_sub	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
ERR675519_metabat_40_sub	k__Bacteria (UID203)	5449	103	57	95	8	0	0	0	0	8.37	0.00	0.00
