Bin Id	Completeness	Completeness_General	Contamination	Completeness_Specific	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	Quality_score	Sample	Ambigious_bases	Length_contigs	Length_scaffolds	N50	N_contigs	N_scaffolds	logN50
MAG01	100.0	97.51	0.03	100.0	Neural Network (Specific Model)	11	0.883	169615	335.7392961876833	3886551	0.48	3410	None	99.85	SRS1992958	310	3886241	3886551	169615	62	31	12.04128644182528
MAG02	90.67	97.09	0.06	90.67	Neural Network (Specific Model)	11	0.885	79875	307.5984555984556	1888408	0.42	1813	None	90.37	SRS1992958	300	1888108	1888408	79875	67	37	11.288218191679835
MAG03	99.84	96.23	0.09	99.84	Neural Network (Specific Model)	11	0.88	181103	317.1269443050677	2151264	0.39	1993	None	99.39	SRS1992958	510	2150754	2151264	181103	67	16	12.106821209167762
MAG04	69.29	81.42	1.59	69.29	Neural Network (Specific Model)	11	0.885	7003	255.1353194544149	2400298	0.4	2786	None	61.34	SRS1992958	13480	2387188	2400298	7003	1739	428	8.854093907655518
MAG05	99.94	100.0	0.03	99.94	Neural Network (Specific Model)	11	0.885	154750	359.7619509043928	3769586	0.46	3096	None	99.79	SRS1993000	650	3768936	3769586	154750	111	46	11.949566190546845
MAG06	92.41	98.06	0.82	92.41	Neural Network (Specific Model)	11	0.889	62763	326.5913660555884	1861187	0.38	1691	None	88.31	SRS1993132	379	1860817	1861187	62763	74	37	11.047121006851755
MAG07	99.94	96.14	0.03	99.94	Neural Network (Specific Model)	11	0.89	224301	321.2503725782414	4353578	0.51	4026	None	99.79	SRS1993108	500	4353078	4353578	224301	86	36	12.320744178813118
MAG08	85.47	90.81	0.18	85.47	Neural Network (Specific Model)	11	0.881	53155	356.8579017264276	2743743	0.45	2259	None	84.57	SRS1992999	260	2743483	2743743	53155	100	74	10.880967452722706
MAG09	81.37	78.46	1.03	81.37	Neural Network (Specific Model)	11	0.883	19403	350.5918565196316	2453579	0.46	2063	None	76.22	SRS1992960	10421	2443549	2453579	19403	1197	194	9.873182972271271
MAG10	70.08	69.19	0.05	70.08	Neural Network (Specific Model)	11	0.879	24352	337.44229642647923	1964425	0.43	1707	None	69.83	SRS1992960	1004	1963455	1964425	24352	215	118	10.100369260661411
