#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
SRS1992958_0	38.6609	426476	0.4759	100.0000	426476	65988	65934	0.4733	38	9.31
SRS1992958_1	39.4180	382687	0.4749	100.0000	382687	60531	60454	0.4729	39	10.57
SRS1992958_2	363.4993	335529	0.3876	100.0000	335529	488072	487719	0.3972	374	107.88
SRS1992958_3	70.7068	313833	0.4090	99.9704	313740	89001	89009	0.4133	70	18.86
SRS1992958_4	51.8916	246210	0.4943	100.0000	246210	51162	51154	0.4912	51	11.42
SRS1992958_5	249.2319	227633	0.3913	100.0000	227633	226925	226920	0.3949	249	58.01
SRS1992958_6	44.6121	221625	0.4817	100.0000	221625	39603	39542	0.4797	44	10.08
SRS1992958_7	419.3608	220067	0.3987	100.0000	220067	369269	368995	0.4025	420	96.63
SRS1992958_8	82.2462	205109	0.4252	100.0000	205109	67547	67560	0.4287	81	24.90
SRS1992958_9	37.7397	204938	0.4719	100.0000	204938	30973	30949	0.4695	37	9.34
SRS1992958_10	268.1143	181903	0.3882	100.0000	181903	195182	195175	0.3941	267	70.98
SRS1992958_11	316.1176	181103	0.3986	99.9542	181020	229041	229262	0.4021	319	74.24
SRS1992958_12	32.6332	180141	0.4752	99.9495	180050	23528	23550	0.4734	32	11.25
SRS1992958_13	47.9007	177834	0.4734	99.9516	177748	34146	34167	0.4719	47	11.76
SRS1992958_14	444.6104	174035	0.3834	100.0000	174035	309254	309549	0.3870	450	94.74
SRS1992958_15	35.0483	169615	0.4660	100.0000	169615	23793	23773	0.4630	35	8.35
SRS1992958_16	31.1266	158184	0.4680	100.0000	158184	19702	19695	0.4648	31	8.01
SRS1992958_17	301.5756	154952	0.4005	100.0000	154952	186979	186940	0.4028	300	60.39
SRS1992958_18	285.4283	151541	0.3960	100.0000	151541	172989	173013	0.4017	285	77.67
SRS1992958_19	110.5334	136633	0.4007	100.0000	136633	60592	60658	0.4054	110	28.85
SRS1992958_20	54.3900	135393	0.4783	100.0000	135393	29473	29474	0.4728	54	13.21
SRS1992958_21	37.4161	129218	0.4747	99.9280	129125	19376	19329	0.4735	37	8.73
SRS1992958_22	32.2743	126878	0.4687	100.0000	126878	16409	16432	0.4654	32	8.80
SRS1992958_23	68.2493	124476	0.4162	100.0000	124476	34052	34012	0.4195	68	17.15
SRS1992958_24	47.5532	123169	0.4916	100.0000	123169	23427	23543	0.4891	47	12.75
SRS1992958_25	33.3860	121941	0.4778	100.0000	121941	16296	16303	0.4752	33	7.85
SRS1992958_26	356.0717	121599	0.4018	99.7977	121353	173447	173749	0.4069	361	91.61
SRS1992958_27	31.9422	108754	0.4817	100.0000	108754	13908	13891	0.4806	32	7.53
SRS1992958_28	41.7579	107346	0.4824	100.0000	107346	17998	18015	0.4799	41	12.36
SRS1992958_29	130.9722	105195	0.4771	100.0000	105195	55245	55261	0.4774	126	43.02
SRS1992958_30	100.6988	98348	0.4135	99.9146	98264	39701	39818	0.4191	100	32.34
SRS1992958_31	256.6874	94378	0.3944	100.0000	94378	96774	97043	0.3962	254	68.54
SRS1992958_32	140.7951	93410	0.5056	100.0000	93410	52787	52578	0.5001	121	56.80
SRS1992958_33	54.9014	91922	0.4840	100.0000	91922	20241	20209	0.4814	54	12.54
SRS1992958_34	141.0081	90956	0.5000	99.9098	90874	51323	51492	0.4919	123	60.03
SRS1992958_35	213.7814	89198	0.4729	100.0000	89198	76399	76353	0.4711	212	41.14
SRS1992958_36	331.9379	88686	0.4108	100.0000	88686	117959	117628	0.4126	333	82.36
SRS1992958_37	38.1388	86830	0.4407	100.0000	86830	13301	13275	0.4417	38	10.54
SRS1992958_38	179.8394	86023	0.4966	100.0000	86023	61916	62082	0.4909	176	41.40
SRS1992958_39	112.8227	85726	0.5064	100.0000	85726	38725	38822	0.4998	107	35.04
SRS1992958_40	245.7626	85473	0.5127	100.0000	85473	84333	84314	0.5081	226	82.34
SRS1992958_41	288.8388	82690	0.5185	99.7968	82522	96165	95773	0.5140	237	121.31
SRS1992958_42	35.7115	81513	0.4795	100.0000	81513	11678	11634	0.4769	35	8.47
SRS1992958_43	104.0896	79875	0.4367	100.0000	79875	33373	33399	0.4365	101	28.48
SRS1992958_44	185.1755	79821	0.5233	100.0000	79821	59222	59305	0.5179	184	37.76
SRS1992958_45	166.9029	79230	0.5290	100.0000	79230	53047	53168	0.5249	160	47.71
SRS1992958_46	245.3381	77863	0.4948	100.0000	77863	76724	76639	0.4891	217	103.02
SRS1992958_47	202.1271	77334	0.4685	100.0000	77334	62820	62670	0.4714	185	67.17
SRS1992958_48	58.6269	75686	0.4944	100.0000	75686	17864	17722	0.4912	58	12.48
SRS1992958_49	146.3401	75040	0.5122	100.0000	75040	43902	44164	0.5073	127	59.99
SRS1992958_50	45.6536	74859	0.4755	100.0000	74859	13684	13659	0.4728	45	9.96
SRS1992958_51	137.3058	72475	0.5169	100.0000	72475	39825	39992	0.5118	123	53.19
SRS1992958_52	121.8263	72464	0.4312	100.0000	72464	35400	35389	0.4334	115	44.81
SRS1992958_53	53.9590	71432	0.4828	100.0000	71432	15443	15420	0.4804	53	11.02
SRS1992958_54	236.7762	70716	0.3914	100.0000	70716	66951	67117	0.3937	237	50.82
SRS1992958_55	77.4296	70022	0.4207	100.0000	70022	21747	21696	0.4240	77	17.77
SRS1992958_56	87.3660	69098	0.4278	99.8726	69010	24142	24297	0.4381	90	23.53
SRS1992958_57	177.5079	68545	0.5157	100.0000	68545	48626	48895	0.5094	166	58.05
SRS1992958_58	87.7446	68108	0.4117	100.0000	68108	23978	23979	0.4129	86	23.30
SRS1992958_59	156.3032	67030	0.5204	100.0000	67030	42086	42048	0.5178	143	57.38
SRS1992958_60	33.4196	63587	0.4777	100.0000	63587	8544	8464	0.4753	33	7.54
SRS1992958_61	134.5436	62372	0.5384	100.0000	62372	33816	33620	0.5296	127	43.78
SRS1992958_62	122.0916	59812	0.5123	100.0000	59812	29253	29295	0.5048	112	44.26
SRS1992958_63	186.7148	59643	0.5216	100.0000	59643	44748	44639	0.5138	181	49.90
SRS1992958_64	33.3620	59616	0.4865	100.0000	59616	7992	7942	0.4837	33	8.58
SRS1992958_65	205.2938	58267	0.4571	100.0000	58267	47742	48122	0.4564	203	55.23
SRS1992958_66	35.7871	55934	0.4778	100.0000	55934	8050	7976	0.4761	35	8.50
SRS1992958_67	48.4889	55750	0.4631	100.0000	55750	10812	10826	0.4606	48	10.21
SRS1992958_68	73.1695	55452	0.4261	100.0000	55452	16281	16261	0.4270	73	16.02
SRS1992958_69	114.2162	55282	0.4978	100.0000	55282	25420	25339	0.4902	114	25.21
SRS1992958_70	136.3140	54476	0.4979	100.0000	54476	29749	29783	0.4883	134	34.55
SRS1992958_71	145.2466	53795	0.5141	100.0000	53795	31497	31290	0.5097	130	54.22
SRS1992958_72	140.2639	52990	0.5332	100.0000	52990	29813	29933	0.5222	137	40.71
SRS1992958_73	145.7808	51532	0.5244	100.0000	51532	30179	30242	0.5143	139	41.02
SRS1992958_74	174.4792	50716	0.4951	100.0000	50716	35564	35401	0.4853	170	46.80
SRS1992958_75	105.8700	49995	0.4998	100.0000	49995	21215	21246	0.4929	105	21.55
SRS1992958_76	112.5614	49697	0.5045	100.0000	49697	22410	22447	0.4991	107	35.26
SRS1992958_77	449.1351	49559	0.3959	100.0000	49559	89164	88991	0.4007	461	105.22
SRS1992958_78	153.8092	49052	0.4821	100.0000	49052	30194	30232	0.4752	154	32.76
SRS1992958_79	180.3637	48219	0.5156	100.0000	48219	34928	34784	0.5118	180	36.79
SRS1992958_80	1343.3892	48102	0.4245	100.0000	48102	258629	258526	0.4236	1350	277.52
SRS1992958_81	131.4412	47992	0.5397	100.0000	47992	25414	25338	0.5291	128	34.41
SRS1992958_82	112.3259	47750	0.5101	100.0000	47750	21500	21527	0.5045	110	24.29
SRS1992958_83	147.2110	47452	0.5224	100.0000	47452	28125	28008	0.5181	135	51.64
SRS1992958_84	194.9797	47345	0.5244	100.0000	47345	37171	36961	0.5168	168	75.96
SRS1992958_85	130.4298	47189	0.5134	100.0000	47189	24661	24704	0.5076	129	26.61
SRS1992958_86	49.5248	46421	0.4785	100.0000	46421	9198	9274	0.4743	49	11.63
SRS1992958_87	96.9765	46386	0.4043	100.0000	46386	18066	17994	0.4053	93	25.30
SRS1992958_88	14043.0224	46282	0.4667	100.0000	46282	2602450	2603366	0.4637	14035	2193.52
SRS1992958_89	132.1600	45778	0.5237	100.0000	45778	24332	24318	0.5153	130	35.81
SRS1992958_90	206.4877	45628	0.5150	100.0000	45628	37772	37813	0.5113	200	52.46
SRS1992958_91	131.4073	45242	0.4332	100.0000	45242	23757	23813	0.4316	129	28.61
SRS1992958_92	147.4691	45003	0.5072	100.0000	45003	26553	26638	0.5044	133	48.30
SRS1992958_93	170.5086	44990	0.5166	100.0000	44990	30754	30866	0.5126	169	35.11
SRS1992958_94	76.5366	43954	0.4251	100.0000	43954	13549	13433	0.4247	76	18.03
SRS1992958_95	116.4574	43905	0.4273	100.0000	43905	20514	20546	0.4313	114	31.43
SRS1992958_96	118.0597	43733	0.5019	100.0000	43733	20735	20688	0.4936	116	25.23
SRS1992958_97	142.1270	43502	0.4877	100.0000	43502	25191	24507	0.4813	128	62.68
SRS1992958_98	415.2544	43418	0.3989	100.0000	43418	72376	72703	0.4084	426	117.99
SRS1992958_99	234.1067	42929	0.5208	100.0000	42929	40304	40316	0.5171	213	82.06
SRS1992958_100	233.5338	42183	0.5090	100.0000	42183	39661	39485	0.5083	210	91.49
SRS1992958_101	147.8346	40716	0.4775	100.0000	40716	24159	24111	0.4693	147	32.47
SRS1992958_102	177.0966	40686	0.4985	100.0000	40686	29096	29067	0.4998	156	67.74
SRS1992958_103	71.6623	40564	0.3976	100.0000	40564	11638	11690	0.4063	72	23.33
SRS1992958_104	335.1730	40502	0.4079	100.0000	40502	54513	54473	0.4195	326	114.53
SRS1992958_105	125.7590	39961	0.5126	100.0000	39961	20162	20190	0.5068	121	36.20
SRS1992958_106	147.9904	39675	0.4963	100.0000	39675	23712	23474	0.4874	140	40.84
SRS1992958_107	184.0978	39564	0.5309	99.7801	39477	29300	29352	0.5155	171	59.08
SRS1992958_108	170.0549	39248	0.5182	100.0000	39248	26830	26911	0.5197	147	69.28
SRS1992958_109	170.8854	38928	0.4852	100.0000	38928	26696	26602	0.4802	172	36.44
SRS1992958_110	214.1403	38923	0.5271	100.0000	38923	33398	33608	0.5216	195	79.48
SRS1992958_111	57.1516	38785	0.4717	100.0000	38785	8923	8887	0.4700	55	13.06
SRS1992958_112	226.6992	38640	0.4878	100.0000	38640	35200	34985	0.4790	211	88.01
SRS1992958_113	188.7782	38413	0.5150	100.0000	38413	29037	29122	0.5098	175	63.12
SRS1992958_114	284.8031	38163	0.3512	100.0000	38163	43411	43729	0.3644	287	98.36
SRS1992958_115	126.7962	37642	0.4964	100.0000	37642	19207	19150	0.4981	128	33.00
SRS1992958_116	194.1409	37341	0.5089	100.0000	37341	29039	29108	0.5017	205	73.40
SRS1992958_117	346.9528	37273	0.4239	99.7773	37190	52863	52104	0.4286	317	341.78
SRS1992958_118	138.0745	36492	0.5254	100.0000	36492	20338	20168	0.5144	131	48.86
SRS1992958_119	13.5409	35825	0.5058	99.2882	35570	1973	1958	0.4999	12	6.81
SRS1992958_120	221.7777	35733	0.4642	100.0000	35733	31776	31765	0.4629	200	77.90
SRS1992958_121	136.1656	35670	0.5260	100.0000	35670	19454	19529	0.5213	133	29.37
