	genome	module	module_name	steps	steps_present	step_coverage	ko_count	kos_present	genes_present
0	MAG56	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	9	8	0.8888888888888888	10	K00134,K00850,K00873,K00927,K01624,K01689,K01803,K01810,K01834,K15633	MAG56_MAG56_107_9,MAG56_MAG56_127_1,MAG56_MAG56_128_5,MAG56_MAG56_140_23,MAG56_MAG56_153_13,MAG56_MAG56_162_15,MAG56_MAG56_170_13,MAG56_MAG56_61_2,MAG56_MAG56_61_3,MAG56_MAG56_61_4,MAG56_MAG56_8_26
1	MAG56	M00002	Glycolysis, core module involving three-carbon compounds	5	5	1.0	7	K00134,K00873,K00927,K01689,K01803,K01834,K15633	MAG56_MAG56_107_9,MAG56_MAG56_127_1,MAG56_MAG56_128_5,MAG56_MAG56_153_13,MAG56_MAG56_170_13,MAG56_MAG56_61_2,MAG56_MAG56_61_3,MAG56_MAG56_61_4
2	MAG56	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	7	7	1.0	9	K00134,K00927,K01610,K01624,K01689,K01803,K01834,K04041,K15633	MAG56_MAG56_10_2,MAG56_MAG56_127_1,MAG56_MAG56_128_5,MAG56_MAG56_153_13,MAG56_MAG56_162_15,MAG56_MAG56_61_2,MAG56_MAG56_61_3,MAG56_MAG56_61_4,MAG56_MAG56_75_22
3	MAG56	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	7	6	0.8571428571428571	6	K00615,K00616,K01783,K01808,K01810,K07404	MAG56_MAG56_122_21,MAG56_MAG56_133_4,MAG56_MAG56_166_8,MAG56_MAG56_64_2,MAG56_MAG56_8_26,MAG56_MAG56_8_34,MAG56_MAG56_8_35,MAG56_MAG56_90_8
4	MAG56	M00005	PRPP biosynthesis, ribose 5P => PRPP	1	1	1.0	1	K00948	MAG56_MAG56_179_4,MAG56_MAG56_51_7
5	MAG56	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	2	1	0.5	1	K07404	MAG56_MAG56_122_21,MAG56_MAG56_64_2
6	MAG56	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	4	4	1.0	4	K00615,K00616,K01783,K01808	MAG56_MAG56_133_4,MAG56_MAG56_166_8,MAG56_MAG56_8_34,MAG56_MAG56_8_35,MAG56_MAG56_90_8
7	MAG56	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	4	2	0.5	2	K01625,K07404	MAG56_MAG56_122_21,MAG56_MAG56_150_37,MAG56_MAG56_64_2
8	MAG56	M00009	Citrate cycle (TCA cycle, Krebs cycle)	8	2	0.25	3	K00030,K01677,K01678	MAG56_MAG56_143_15,MAG56_MAG56_92_1,MAG56_MAG56_92_2
9	MAG56	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	3	1	0.3333333333333333	1	K00030	MAG56_MAG56_143_15
10	MAG56	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	5	1	0.2	2	K01677,K01678	MAG56_MAG56_92_1,MAG56_MAG56_92_2
11	MAG56	M00012	Glyoxylate cycle	5	0	0.0	0		
12	MAG56	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	5	1	0.2	1	K00248	MAG56_MAG56_43_6
13	MAG56	M00014	Glucuronate pathway (uronate pathway)	8	0	0.0	0		
14	MAG56	M00015	Proline biosynthesis, glutamate => proline	2	2	1.0	3	K00147,K00286,K00931	MAG56_MAG56_112_6,MAG56_MAG56_95_23,MAG56_MAG56_95_27
15	MAG56	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	9	6	0.6666666666666666	6	K00133,K00215,K00821,K01586,K01714,K01778	MAG56_MAG56_140_21,MAG56_MAG56_164_3,MAG56_MAG56_170_14,MAG56_MAG56_21_4,MAG56_MAG56_21_5,MAG56_MAG56_81_2
16	MAG56	M00017	Methionine biosynthesis, apartate => homoserine => methionine	7	5	0.7142857142857143	5	K00003,K00133,K00548,K00651,K01760	MAG56_MAG56_108_8,MAG56_MAG56_119_7,MAG56_MAG56_163_7,MAG56_MAG56_164_3,MAG56_MAG56_33_24
17	MAG56	M00018	Threonine biosynthesis, aspartate => homoserine => threonine	5	4	0.8	4	K00003,K00133,K01733,K02203	MAG56_MAG56_135_8,MAG56_MAG56_162_14,MAG56_MAG56_163_7,MAG56_MAG56_164_3
18	MAG56	M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	4	4	1.0	5	K00053,K00826,K01652,K01653,K01687	MAG56_MAG56_113_3,MAG56_MAG56_113_4,MAG56_MAG56_113_5,MAG56_MAG56_113_6,MAG56_MAG56_121_23,MAG56_MAG56_167_6,MAG56_MAG56_167_7,MAG56_MAG56_2_3,MAG56_MAG56_52_27
19	MAG56	M00020	Serine biosynthesis, glycerate-3P => serine	3	2	0.6666666666666666	2	K00058,K00831	MAG56_MAG56_147_7,MAG56_MAG56_99_14
