	Assembled_Reads	N_Predicted_Genes	Percent_Assembled_Reads	contig_bp	L50	L90	N50	N90	max	gap_pct	gc_avg	gc_std	n_contigs	n_scaffolds
ERR675518	40693150.0	75574.0	83.69068277878614	80062624.0	17072.0	2296.0	977.0	6913.0	352477.0	0.127	0.46893999999999997	0.07948	12092.0	9757.0
ERR675519	34655826.0	93570.0	74.79682478805464	91235509.0	9521.0	1897.0	1669.0	11672.0	425109.0	0.16899999999999998	0.48031	0.09002	18300.0	15050.0
ERR675520	37198113.0	65309.0	82.88157353569406	70139999.0	19276.0	2327.0	762.0	5593.0	327375.0	0.109	0.46735	0.06844	10173.0	8259.0
ERR675521	31488476.0	107342.0	73.56314116218849	106430331.0	12693.0	2101.0	1690.0	11023.0	425110.0	0.138	0.48663	0.08245	18122.0	15068.0
ERR675522	31561122.0	57745.0	82.4712816906388	61387765.0	20868.0	2118.0	574.0	5311.0	352460.0	0.11699999999999999	0.47583000000000003	0.07761	9421.0	7773.0
ERR675523	31350164.0	104648.0	70.82166184520887	100815032.0	7934.0	1849.0	2356.0	14097.0	449187.0	0.18100000000000002	0.47608	0.07618	21606.0	17720.0
ERR675524	44605973.0	71841.0	85.77170303159485	77715554.0	15730.0	2271.0	971.0	6963.0	468073.0	0.121	0.48878999999999995	0.07869	11926.0	9766.0
ERR675525	22503211.0	77343.0	66.76654406517953	76096133.0	9066.0	1895.0	1643.0	10006.0	468072.0	0.15	0.4827	0.06841	15521.0	12816.0
ERR675526	47310414.0	93469.0	83.17947755376343	99610367.0	18839.0	2331.0	1117.0	8092.0	468075.0	0.109	0.47626999999999997	0.07977999999999999	14470.0	11900.0
ERR675527	30167301.0	61570.0	82.40756346755941	65927839.0	15869.0	2336.0	850.0	5612.0	361286.0	0.11900000000000001	0.48249	0.07032999999999999	9793.0	7929.0
ERR675528	33755307.0	112420.0	73.07507329847034	109301563.0	9888.0	1995.0	2273.0	13221.0	425399.0	0.125	0.49285	0.09059	20685.0	17513.0
ERR675529	31407156.0	61754.0	81.11200397203307	67252050.0	17637.0	2285.0	820.0	5487.0	345010.0	0.114	0.47644	0.06472	9870.0	8069.0
ERR675530	22550221.0	68777.0	70.09401924834397	67733933.0	13594.0	1968.0	908.0	7321.0	429570.0	0.127	0.4795	0.08821	12055.0	10049.0
ERR675531	28487876.0	95469.0	69.77239937544516	92923965.0	9494.0	1907.0	1725.0	11849.0	542527.0	0.156	0.48366000000000003	0.08661	18507.0	15255.0
ERR675532	28297544.0	102420.0	72.82452776207711	100507543.0	8868.0	2034.0	2389.0	12550.0	203071.0	0.153	0.49298000000000003	0.08213	19460.0	16053.0
