bin	uniqueBacSCGs	redundantBacSCGs	uniqueArcSCGs	redundantArcSCGs	bacRatio	arcRatio	size	contigs	N50	binScore	SCG_completeness	SCG_redundancy
ERR675519_metabat_02	51	0	15	1	1	0.394736842105263	1984464	19	204661	1	100	2.63
ERR675519_metabat_03	51	0	15	0	1	0.394736842105263	4230844	108	65619	1	100	0
ERR675519_metabat_05	51	0	15	0	1	0.394736842105263	2871664	132	40251	1	100	0
ERR675519_maxbin_12_sub	50	0	15	0	0.980392156862745	0.394736842105263	2489122	85	57398	0.9804	98.04	0
ERR675519_maxbin_08	51	1	13	2	1	0.342105263157895	1928433	104	35498	0.9784	100	5.26
ERR675519_maxbin_04	51	1	14	0	1	0.368421052631579	1991568	101	32321	0.9784	100	1.96
ERR675519_metabat_10	49	0	12	0	0.96078431372549	0.315789473684211	2024844	89	35988	0.9608	96.08	0
ERR675519_metabat_04	50	1	15	4	0.980392156862745	0.394736842105263	3765774	59	118322	0.9586	98.04	10.53
ERR675519_maxbin_02	50	1	14	0	0.980392156862745	0.368421052631579	2236895	133	30070	0.9586	98.04	1.96
ERR675519_metabat_09_sub	49	1	15	1	0.96078431372549	0.394736842105263	3600208	156	42370	0.9387	96.08	2.63
ERR675519_maxbin_06	47	0	15	0	0.92156862745098	0.394736842105263	2923557	64	139185	0.9216	92.16	0
ERR675519_metabat_06	50	3	15	0	0.980392156862745	0.394736842105263	3595961	147	40744	0.915	98.04	5.88
ERR675519_metabat_20	48	2	13	2	0.941176470588235	0.342105263157895	1655308	248	9913	0.8966	94.12	5.26
ERR675519_metabat_31	47	2	9	2	0.92156862745098	0.236842105263158	1811526	364	6168	0.8764	92.16	5.26
ERR675519_metabat_30_sub	47	3	14	0	0.92156862745098	0.368421052631579	2241586	609	4257	0.8441	92.16	5.88
ERR675519_metabat_33	43	0	13	0	0.843137254901961	0.342105263157895	619375	236	2700	0.8431	84.31	0
ERR675519_metabat_24_sub	49	5	12	1	0.96078431372549	0.315789473684211	3458758	403	13151	0.8407	96.08	9.8
ERR675519_metabat_11	44	1	16	0	0.862745098039216	0.421052631578947	2458192	132	29515	0.8295	86.27	1.96
ERR675519_metabat_17	45	5	12	1	0.882352941176471	0.315789473684211	2387529	214	17524	0.7667	88.24	9.8
ERR675519_metabat_25_sub	43	3	15	2	0.843137254901961	0.394736842105263	3350417	773	5265	0.7523	84.31	5.88
ERR675519_maxbin_14_sub	42	8	10	2	0.823529411764706	0.263157894736842	1127491	432	2670	0.6112	82.35	15.69
ERR675519_maxbin_13_sub	32	6	8	1	0.627450980392157	0.210526315789474	2223887	518	5287	0.4561	62.75	11.76
ERR675519_maxbin_07_sub	38	9	9	7	0.745098039215686	0.236842105263158	4274463	988	5606	0.4559	74.51	18.42
ERR675519_maxbin_18_sub	23	0	1	0	0.450980392156863	0.0263157894736842	969729	313	2995	0.451	45.1	0
ERR675519_maxbin_21_sub	16	0	5	0	0.313725490196078	0.131578947368421	3203114	868	4175	0.3137	31.37	0
ERR675519_maxbin_24_sub	12	0	2	0	0.235294117647059	0.0526315789473684	456196	187	2314	0.2353	23.53	0
ERR675519_maxbin_19_sub	24	8	5	0	0.470588235294118	0.131578947368421	80084	27	2774	0.1922	47.06	15.69
ERR675519_maxbin_17_sub	7	0	3	0	0.137254901960784	0.0789473684210526	2310935	561	4783	0.1373	13.73	0
ERR675519_maxbin_16_sub	15	3	8	3	0.294117647058824	0.210526315789474	2273950	810	2908	0.1349	29.41	7.89
ERR675519_metabat_21_sub	5	0	1	0	0.0980392156862745	0.0263157894736842	370810	141	2704	0.098	9.8	0
ERR675519_metabat_40_sub	5	0	2	0	0.0980392156862745	0.0526315789473684	190060	75	2440	0.098	9.8	0
ERR675519_maxbin_20_sub	12	4	7	1	0.235294117647059	0.184210526315789	2002792	633	3354	0.0853	23.53	7.84
ERR675519_metabat_18_sub	20	5	6	2	0.392156862745098	0.157894736842105	1203030	331	4408	0.1637	39.22	9.8
ERR675519_maxbin_11_sub	3	0	3	0	0.0588235294117647	0.0789473684210526	321266	136	2322	0.0789	7.89	0
ERR675519_maxbin_03_sub	4	0	0	0	0.0784313725490196	0	433759	83	9147	0.0784	7.84	0
ERR675519_metabat_12_sub	8	1	3	1	0.156862745098039	0.0789473684210526	4125198	1040	4582	0.0623	15.69	2.63
ERR675519_maxbin_25_sub	6	0	1	0	0.117647058823529	0.0263157894736842	497401	180	2651	0.1176	11.76	0
ERR675519_metabat_23_sub	3	0	0	0	0.0588235294117647	0	312997	22	21699	0.0588	5.88	0
ERR675519_metabat_37_sub	3	0	0	0	0.0588235294117647	0	420251	142	3114	0.0588	5.88	0
ERR675519_maxbin_05_sub	3	0	2	0	0.0588235294117647	0.0526315789473684	1134185	397	2948	0.0588	5.88	0
ERR675519_metabat_32_sub	3	1	3	0	0.0588235294117647	0.0789473684210526	1306446	427	3144	0.0789	7.89	1.96
ERR675519_metabat_16_sub	8	2	2	0	0.156862745098039	0.0526315789473684	1490723	270	7389	0.0526	15.69	3.92
ERR675519_metabat_36_sub	2	0	1	0	0.0392156862745098	0.0263157894736842	788387	277	3034	0.0392	3.92	0
ERR675519_maxbin_15_sub	1	0	1	0	0.0196078431372549	0.0263157894736842	489353	81	9186	0.0263	2.63	0
ERR675519_metabat_39_sub	0	0	1	0	0	0.0263157894736842	18294	5	3551	0.0263	2.63	0
ERR675519_maxbin_01_sub	1	0	0	0	0.0196078431372549	0	475149	63	19821	0.0196	1.96	0
ERR675519_metabat_29_sub	1	0	0	0	0.0196078431372549	0	311679	82	5110	0.0196	1.96	0
