Bin Id	Completeness	Contamination	Strain heterogeneity	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Sample
ERR675518_maxbin_01_sub	41.15	22.81	27.78	6	1	UID1256	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	45.509122571099994	3.176645	3519	0.896017339048	ERR675518
ERR675518_maxbin_02	98.75	1.18	0.0	43	0	UID3256	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	unresolved	40.797508801999996	2.053373	1865	0.8954364355619999	ERR675518
ERR675518_maxbin_04	95.95	1.43	0.0	43	0	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	48.8284913591	2.855865	2465	0.906297741665	ERR675518
ERR675518_maxbin_05	22.39	0.69	69.23	29	7	UID2784	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	s__Bacteroides_massiliensis	41.8850120294	1.8155290000000002	1792	0.881790927052	ERR675518
ERR675518_maxbin_08_sub	6.49	1.75	100.0	4	0	UID1255	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	49.4776017691	1.630944	1876	0.847758721329	ERR675518
ERR675518_maxbin_09_sub	85.14	1.12	16.67	38	2	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	41.4742275774	4.215566	3567	0.90133471994	ERR675518
ERR675518_maxbin_10_sub	85.27	0.75	0.0	27	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	48.1977215093	2.320259	2053	0.916024892049	ERR675518
ERR675518_maxbin_15	97.17	2.29	0.0	41	0	UID2385	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium	p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_biforme	54.69007811149999	2.242946	2168	0.8700561672020001	ERR675518
ERR675518_maxbin_16	28.63	0.0	0.0	30	0	UID1230	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	60.283846213100006	1.158733	1354	0.889756311419	ERR675518
ERR675518_maxbin_17_sub	8.62	1.72	0.0	2	0	UID2130	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae	g__Olsenella;s__Atopobium_vaginae	54.4507042254	0.15291300000000002	116	0.8731239332170001	ERR675518
ERR675518_maxbin_18_sub	10.17	0.0	0.0	3	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	59.3745195919	0.34654	353	0.916229006752	ERR675518
ERR675518_maxbin_19_sub	12.07	1.41	54.55	8	6	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	46.2090010268	0.5214529999999999	615	0.861897428915	ERR675518
ERR675518_maxbin_20_sub	62.21	5.68	0.0	24	1	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	40.276475395300004	2.1643950000000003	2275	0.8853310047380001	ERR675518
ERR675518_maxbin_21	97.96	0.0	0.0	43	0	UID3058	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	g__Akkermansia;s__Akkermansia_muciniphila	55.5610168696	2.7921009999999997	2370	0.8830532992899999	ERR675518
ERR675518_maxbin_22_sub	73.0	1.57	0.0	42	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	49.1040254474	2.71445	2390	0.888782626315	ERR675518
ERR675518_maxbin_24_sub	6.19	0.0	0.0	3	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	52.1706785304	0.5448189999999999	564	0.9235691119439999	ERR675518
ERR675518_maxbin_25_sub	9.51	0.0	0.0	4	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	52.047577520299996	0.22287600000000002	220	0.884626429046	ERR675518
ERR675518_metabat_01	98.59	0.37	0.0	36	0	UID2675	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	s__Bacteroides_intestinalis	42.5780219331	6.015425	4774	0.907803521779	ERR675518
ERR675518_metabat_02_sub	56.9	1.72	100.0	6	0	UID2784	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	s__Bacteroides_massiliensis	43.199229770600006	3.398635	2860	0.901078815466	ERR675518
ERR675518_metabat_05	94.01	0.0	0.0	41	0	UID2130	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae	g__Olsenella;s__Atopobium_vaginae	59.0364505446	1.839896	1570	0.861071495345	ERR675518
ERR675518_metabat_06	96.48	1.64	0.0	43	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	52.0621801268	3.155977	2613	0.9005490217450001	ERR675518
ERR675518_metabat_08_sub	6.9	0.0	0.0	1	0	UID2624	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	g__Dysgonomonas	52.785167271300004	0.223781	187	0.8919613372	ERR675518
ERR675518_metabat_09_sub	95.65	0.75	50.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	50.9353000638	2.4361450000000002	1938	0.893131566471	ERR675518
ERR675518_metabat_10	92.24	0.57	0.0	41	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	47.30256425100001	3.45605	3266	0.884718392384	ERR675518
ERR675518_metabat_11_sub	12.93	0.0	0.0	2	0	UID2789	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	unresolved	41.6911601514	0.667366	629	0.870009859657	ERR675518
ERR675518_metabat_12	94.59	1.23	26.67	34	8	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	53.793750818999996	2.389049	1875	0.869168861752	ERR675518
ERR675518_metabat_13	88.61	0.94	0.0	34	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	51.668143998699996	2.90251	2485	0.921416291417	ERR675518
ERR675518_metabat_15_sub	22.41	0.0	0.0	1	0	UID2623	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	g__Dysgonomonas	54.234840955500005	0.809404	592	0.8730016160040001	ERR675518
ERR675518_metabat_16	81.35	1.76	20.0	42	0	UID2808	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	56.8321758759	1.6941830000000002	1663	0.870219450909	ERR675518
ERR675518_metabat_18	93.68	0.0	0.0	41	0	UID1119	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	34.5346335033	1.653304	1533	0.887763532901	ERR675518
ERR675518_metabat_19	40.98	0.0	0.0	12	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	52.1633670358	1.050533	1057	0.92039183919	ERR675518
ERR675518_metabat_21_sub	3.45	0.0	0.0	1	0	UID2618	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	unresolved	46.4356020676	0.236467	229	0.913861130729	ERR675518
ERR675518_metabat_22_sub	84.6	0.22	33.33	34	1	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	44.8210986918	3.207293	3402	0.887100741965	ERR675518
